,Date,Low,High,Close,Open
4223,2019-06-13,1505.0,1554.0,1513.1,1525.35
4222,2019-06-12,1504.0,1572.0,1509.85,1551.0
4221,2019-06-11,1541.45,1580.15,1550.35,1560.0
4220,2019-06-10,1560.0,1625.4,1566.7,1575.0
4219,2019-06-07,1521.6,1575.0,1564.35,1533.0
4218,2019-06-06,1523.3,1577.4,1527.6,1565.0
4217,2019-06-04,1554.25,1607.0,1560.2,1600.0
4216,2019-06-03,1554.3,1611.7,1591.85,1565.0
4215,2019-05-31,1561.7,1590.85,1571.0,1583.85
4214,2019-05-30,1563.2,1584.75,1578.45,1584.6
4213,2019-05-29,1574.45,1601.0,1582.55,1595.0
4212,2019-05-28,1560.0,1621.0,1589.9,1621.0
4211,2019-05-27,1485.0,1620.0,1610.7,1485.0
4210,2019-05-24,1450.0,1501.35,1494.65,1450.0
4209,2019-05-23,1419.95,1485.0,1429.35,1461.0
4208,2019-05-22,1402.05,1458.0,1452.2,1430.0
4207,2019-05-21,1414.3,1455.0,1426.0,1440.45
4206,2019-05-20,1403.6,1445.0,1431.9,1408.0
4205,2019-05-17,1375.0,1405.0,1392.05,1376.05
4204,2019-05-16,1363.9,1400.0,1388.25,1378.2
4203,2019-05-15,1357.9,1382.05,1375.4,1375.2
4202,2019-05-14,1318.8,1376.55,1370.85,1342.05
4201,2019-05-13,1340.2,1389.0,1346.55,1388.95
4200,2019-05-10,1340.0,1393.05,1376.95,1390.8
4199,2019-05-09,1379.0,1440.5,1391.95,1440.5
4198,2019-05-08,1442.2,1495.45,1448.6,1475.0
4197,2019-05-07,1465.2,1488.5,1470.25,1481.3
4196,2019-05-06,1470.05,1503.15,1481.3,1480.0
4195,2019-05-03,1474.0,1515.5,1490.55,1474.0
4194,2019-05-02,1464.0,1519.9,1473.9,1474.0
4193,2019-04-30,1468.45,1486.45,1473.4,1478.05
4192,2019-04-26,1474.0,1491.9,1477.5,1491.1
4191,2019-04-25,1475.0,1499.85,1493.9,1485.0
4190,2019-04-24,1464.9,1503.5,1484.45,1468.5
4189,2019-04-23,1442.0,1497.5,1488.45,1442.0
4188,2019-04-22,1411.35,1454.3,1433.05,1415.05
4187,2019-04-18,1410.05,1443.05,1432.3,1410.05
4186,2019-04-16,1406.2,1435.0,1408.6,1424.0
4185,2019-04-15,1419.0,1438.95,1421.4,1430.0
4184,2019-04-12,1400.0,1434.0,1426.2,1400.05
4183,2019-04-11,1370.6,1418.0,1403.4,1377.05
4182,2019-04-10,1370.2,1405.25,1379.05,1392.5
4181,2019-04-09,1381.4,1414.9,1408.4,1400.0
4180,2019-04-08,1370.0,1416.0,1398.2,1375.0
4179,2019-04-05,1320.3,1379.0,1374.75,1326.8
4178,2019-04-04,1317.3,1336.1,1326.0,1334.4
4177,2019-04-03,1319.7,1339.95,1329.0,1323.35
4176,2019-04-02,1314.0,1342.25,1322.6,1320.0
4175,2019-04-01,1306.35,1326.6,1313.55,1319.85
4174,2019-03-28,1307.05,1330.0,1315.0,1327.0
4173,2019-03-27,1321.05,1346.5,1329.3,1330.0
4172,2019-03-26,1322.6,1340.85,1333.3,1336.65
4171,2019-03-25,1323.45,1342.1,1338.35,1331.5
4170,2019-03-22,1334.2,1347.95,1341.35,1342.25
4169,2019-03-20,1317.55,1342.0,1336.15,1317.55
4168,2019-03-19,1301.4,1322.0,1316.35,1307.65
4167,2019-03-18,1302.15,1324.0,1307.6,1314.95
4166,2019-03-15,1296.0,1315.2,1303.85,1315.2
4165,2019-03-14,1291.5,1324.0,1307.2,1310.0
4164,2019-03-13,1250.0,1310.0,1293.3,1256.65
4163,2019-03-12,1250.0,1280.1,1256.65,1271.0
4162,2019-03-11,1260.2,1276.25,1265.35,1265.25
4161,2019-03-08,1250.9,1277.0,1265.3,1269.45
4160,2019-03-07,1245.0,1290.0,1269.45,1245.0
4159,2019-03-06,1227.15,1254.8,1244.45,1233.85
4158,2019-03-05,1224.3,1253.2,1233.85,1244.0
4157,2019-03-01,1232.5,1259.5,1240.5,1245.0
4156,2019-02-28,1224.3,1234.5,1229.95,1226.5
4155,2019-02-27,1221.5,1246.0,1224.3,1242.9
4154,2019-02-26,1230.0,1247.2,1235.8,1237.4
4153,2019-02-25,1241.0,1263.75,1248.8,1258.0
4152,2019-02-22,1242.0,1264.95,1248.85,1242.0
4151,2019-02-21,1240.15,1270.0,1249.7,1260.0
4150,2019-02-20,1242.85,1274.0,1248.1,1257.0
4149,2019-02-19,1231.25,1253.2,1241.9,1233.25
4148,2019-02-18,1228.3,1248.0,1232.15,1243.0
4147,2019-02-15,1238.05,1270.0,1245.65,1269.0
4146,2019-02-14,1237.65,1275.0,1256.45,1267.0
4145,2019-02-12,1231.0,1266.45,1251.55,1231.05
4144,2019-02-11,1224.05,1260.4,1230.35,1255.05
4143,2019-02-08,1249.95,1276.05,1255.8,1264.85
4142,2019-02-07,1256.3,1285.0,1263.05,1269.65
4141,2019-02-06,1254.6,1274.6,1260.35,1260.15
4140,2019-02-05,1253.25,1293.35,1258.4,1272.2
4139,2019-02-04,1259.25,1291.1,1272.3,1270.0
4138,2019-02-01,1264.6,1294.3,1268.55,1273.25
4137,2019-01-31,1255.0,1287.0,1274.9,1263.35
4136,2019-01-30,1241.1,1281.4,1263.9,1256.8
4135,2019-01-29,1224.25,1267.95,1256.8,1249.0
4134,2019-01-28,1209.95,1261.7,1235.0,1261.7
4133,2019-01-25,1250.0,1284.0,1255.9,1284.0
4132,2019-01-24,1254.55,1296.6,1261.65,1296.6
4131,2019-01-23,1285.8,1311.95,1294.85,1308.95
4130,2019-01-22,1280.9,1313.7,1305.35,1284.0
4129,2019-01-21,1271.0,1301.5,1276.5,1285.2
4128,2019-01-18,1271.1,1295.4,1275.6,1294.45
4127,2019-01-17,1280.0,1297.1,1284.4,1289.0
4126,2019-01-16,1282.45,1314.75,1287.55,1286.6
4125,2019-01-15,1281.0,1325.0,1295.4,1309.4
4124,2019-01-14,1300.0,1354.8,1304.55,1350.0
4123,2019-01-11,1302.35,1359.0,1346.65,1302.35
