,Date,Low,High,Close,Open
4652,2019-06-13,217.8,230.0,227.75,218.2
4651,2019-06-12,215.5,221.5,219.55,219.15
4650,2019-06-11,220.2,224.2,221.65,224.0
4649,2019-06-10,216.0,223.45,220.15,222.7
4648,2019-06-07,216.7,223.3,222.7,219.5
4647,2019-06-06,216.15,223.0,219.5,221.95
4646,2019-06-04,216.35,221.65,217.0,220.0
4645,2019-06-03,216.7,226.0,220.25,224.0
4644,2019-05-31,217.5,230.3,225.85,223.85
4643,2019-05-30,222.95,230.95,224.85,229.3
4642,2019-05-29,227.5,241.0,230.9,232.0
4641,2019-05-28,217.25,224.0,223.35,217.6
4640,2019-05-27,213.1,217.0,216.0,214.0
4639,2019-05-24,211.0,215.95,212.8,213.7
4638,2019-05-23,206.5,212.25,210.0,206.5
4637,2019-05-22,203.0,207.7,204.65,204.55
4636,2019-05-21,203.1,206.95,205.45,204.0
4635,2019-05-20,201.8,207.0,204.6,204.95
4634,2019-05-17,200.0,202.4,200.3,200.0
4633,2019-05-16,196.25,202.6,200.2,198.75
4632,2019-05-15,197.35,200.0,198.7,197.35
4631,2019-05-14,194.0,200.0,199.65,194.7
4630,2019-05-13,192.8,196.0,193.9,193.05
4629,2019-05-10,194.1,195.5,194.95,194.25
4628,2019-05-09,192.15,197.05,194.05,194.6
4627,2019-05-08,191.4,200.1,195.2,194.9
4626,2019-05-07,193.65,202.05,195.45,194.95
4625,2019-05-06,193.3,196.35,196.05,194.75
4624,2019-05-03,194.0,197.0,195.1,195.9
4623,2019-05-02,193.1,196.4,195.0,195.0
4622,2019-04-30,192.5,201.0,195.5,201.0
4621,2019-04-26,194.4,198.8,198.05,195.35
4620,2019-04-25,194.6,197.2,195.3,196.75
4619,2019-04-24,188.0,196.6,196.1,189.0
4618,2019-04-23,181.55,207.4,188.65,204.7
4617,2019-04-22,203.6,210.0,206.15,207.0
4616,2019-04-18,207.5,210.75,208.35,209.4
4615,2019-04-16,210.05,212.85,210.25,211.35
4614,2019-04-15,209.65,214.35,211.75,210.0
4613,2019-04-12,207.45,209.75,208.15,208.2
4612,2019-04-11,208.0,212.0,208.85,210.5
4611,2019-04-10,208.0,212.0,209.7,211.05
4610,2019-04-09,206.1,216.6,211.05,207.6
4609,2019-04-08,202.9,220.75,206.25,216.5
4608,2019-04-05,202.5,216.1,215.1,204.1
4607,2019-04-04,199.0,204.5,203.35,204.5
4606,2019-04-03,203.55,209.8,205.1,209.8
4605,2019-04-02,203.0,206.9,204.6,205.8
4604,2019-04-01,204.0,208.45,206.65,204.65
4603,2019-03-28,199.55,204.1,200.25,202.5
4602,2019-03-27,201.45,204.5,202.6,201.6
4601,2019-03-26,198.5,204.35,200.1,202.35
4600,2019-03-25,200.95,204.7,201.6,201.6
4599,2019-03-22,186.0,203.0,201.2,202.55
4598,2019-03-20,198.0,203.85,200.45,202.7
4597,2019-03-19,202.5,210.0,203.6,210.0
4596,2019-03-18,204.0,205.7,204.55,204.75
4595,2019-03-15,203.0,205.9,204.1,204.5
4594,2019-03-14,200.8,205.6,205.05,202.0
4593,2019-03-13,199.25,208.8,202.25,208.8
4592,2019-03-12,203.55,212.0,205.7,208.55
4591,2019-03-11,203.4,208.0,205.8,207.0
4590,2019-03-08,205.05,208.0,206.1,206.0
4589,2019-03-07,200.35,206.0,203.0,206.0
4588,2019-03-06,202.45,209.0,204.75,204.55
4587,2019-03-05,203.9,208.0,206.05,206.45
4586,2019-03-01,198.25,215.95,206.3,198.25
4585,2019-02-28,194.8,201.4,200.7,195.4
4584,2019-02-27,192.0,201.75,196.15,200.9
4583,2019-02-26,193.0,204.55,200.5,197.5
4582,2019-02-25,196.55,199.95,199.4,197.7
4581,2019-02-22,190.0,198.0,197.15,192.6
4580,2019-02-21,186.1,196.0,193.95,193.0
4579,2019-02-20,178.0,187.9,183.95,179.05
4578,2019-02-19,176.0,182.05,176.95,180.8
4577,2019-02-18,170.3,184.5,179.0,171.1
4576,2019-02-15,172.0,191.05,176.5,191.05
4575,2019-02-14,187.75,194.3,189.6,191.05
4574,2019-02-12,185.5,195.9,193.5,192.0
4573,2019-02-11,188.0,196.0,191.7,192.75
4572,2019-02-08,190.0,205.3,192.75,199.75
4571,2019-02-07,196.05,200.0,198.5,197.75
4570,2019-02-06,194.0,200.1,199.85,198.2
4569,2019-02-05,194.3,198.9,196.05,195.7
4568,2019-02-04,194.05,200.5,197.85,200.45
4567,2019-02-01,192.75,203.75,199.15,192.9
4566,2019-01-31,188.45,192.0,190.35,188.45
