,Date,Low,High,Close,Open
2893,2019-06-13,608.0,624.05,620.5,622.2
2892,2019-06-12,623.2,640.2,625.45,640.0
2891,2019-06-11,629.2,641.0,638.9,630.0
2890,2019-06-10,619.7,635.0,630.6,619.7
2889,2019-06-07,607.75,645.0,616.75,645.0
2888,2019-06-06,628.05,638.35,634.35,638.35
2887,2019-06-04,635.75,645.75,637.75,644.0
2886,2019-06-03,630.0,642.4,637.3,635.05
2885,2019-05-31,632.1,645.0,634.25,639.15
2884,2019-05-30,630.95,642.25,639.15,639.7
2883,2019-05-29,627.0,645.45,630.25,637.25
2882,2019-05-28,625.0,640.7,637.25,640.7
2881,2019-05-27,633.6,649.0,641.8,637.55
2880,2019-05-24,609.2,643.8,637.85,629.05
2879,2019-05-23,618.0,632.0,621.95,626.0
2878,2019-05-22,603.25,627.75,616.75,627.1
2877,2019-05-21,625.15,660.0,628.1,660.0
2876,2019-05-20,637.65,650.25,641.5,644.35
2875,2019-05-17,625.8,634.9,629.6,630.8
2874,2019-05-16,620.3,638.55,624.5,620.3
2873,2019-05-15,610.3,637.8,625.25,637.6
2872,2019-05-14,621.8,635.95,630.7,626.0
2871,2019-05-13,622.05,640.25,625.05,640.25
2870,2019-05-10,633.1,645.35,634.9,639.15
2869,2019-05-09,625.0,637.0,634.8,633.6
2868,2019-05-08,633.85,648.7,636.6,648.7
2867,2019-05-07,641.5,650.8,642.9,644.0
2866,2019-05-06,641.95,657.0,644.7,655.1
2865,2019-05-03,655.15,674.0,657.75,658.0
2864,2019-05-02,655.0,666.35,658.4,661.0
2863,2019-04-30,658.7,668.0,661.25,668.0
2862,2019-04-26,665.75,675.0,667.5,669.0
2861,2019-04-25,666.0,677.5,668.2,676.0
2860,2019-04-24,672.0,681.0,674.1,677.9
2859,2019-04-23,674.95,684.05,676.4,676.25
2858,2019-04-22,675.2,690.75,678.5,688.0
2857,2019-04-18,692.0,710.7,693.75,709.4
2856,2019-04-16,700.2,712.0,704.45,702.0
2855,2019-04-15,692.0,706.0,702.2,694.0
2854,2019-04-12,681.5,695.95,691.0,684.95
2853,2019-04-11,678.65,692.8,681.8,688.0
2852,2019-04-10,667.35,688.85,684.35,675.0
2851,2019-04-09,673.0,683.0,675.35,680.0
2850,2019-04-08,673.0,685.6,680.1,679.0
2849,2019-04-05,669.35,688.9,680.6,679.95
2848,2019-04-04,658.05,700.0,675.7,690.0
2847,2019-04-03,650.0,739.2,672.35,724.55
2846,2019-04-02,719.15,729.45,721.05,723.1
2845,2019-04-01,717.05,732.15,723.05,717.05
2844,2019-03-28,713.1,731.75,717.3,725.2
2843,2019-03-27,705.45,730.0,721.05,709.0
2842,2019-03-26,704.0,720.35,709.45,708.0
2841,2019-03-25,703.95,716.1,706.7,716.1
2840,2019-03-22,712.5,731.5,716.05,729.4
2839,2019-03-20,720.2,746.85,726.9,745.0
2838,2019-03-19,724.0,748.8,742.7,731.75
2837,2019-03-18,730.0,750.8,734.05,749.95
2836,2019-03-15,743.6,752.75,746.1,746.8
2835,2019-03-14,741.5,757.1,747.45,755.6
2834,2019-03-13,745.45,771.0,751.55,750.0
2833,2019-03-12,743.0,752.3,746.05,749.65
2832,2019-03-11,739.65,749.2,745.6,743.3
2831,2019-03-08,731.9,744.65,737.45,744.65
2830,2019-03-07,741.35,759.9,744.05,759.9
2829,2019-03-06,740.0,751.7,747.45,744.0
2828,2019-03-05,727.0,739.4,734.9,727.0
2827,2019-03-01,717.0,730.0,728.4,717.0
2826,2019-02-28,712.6,724.15,717.1,721.9
2825,2019-02-27,715.7,738.0,720.3,737.0
2824,2019-02-26,718.3,734.95,729.8,730.1
2823,2019-02-25,721.7,746.3,732.1,721.7
2822,2019-02-22,727.0,739.15,730.15,737.95
2821,2019-02-21,714.4,741.05,736.95,724.0
2820,2019-02-20,712.0,745.0,724.0,739.35
