,Date,Low,High,Close,Open
4785,2019-06-13,12.31,13.95,13.88,12.31
4784,2019-06-12,11.5,13.28,12.88,13.14
4783,2019-06-11,12.82,13.9,12.93,13.3
4782,2019-06-10,13.0,14.05,13.75,14.0
4781,2019-06-07,13.75,14.25,13.82,14.0
4780,2019-06-06,13.35,14.24,13.53,14.19
4779,2019-06-04,13.51,14.3,14.03,14.25
4778,2019-06-03,14.2,15.0,14.23,14.67
4777,2019-05-31,14.22,15.0,14.43,14.5
4776,2019-05-30,14.25,15.49,14.41,15.2
4775,2019-05-29,13.3,15.5,15.12,13.5
4774,2019-05-28,13.13,13.79,13.22,13.57
4773,2019-05-27,12.6,13.75,13.52,12.8
4772,2019-05-24,13.0,13.59,13.47,13.12
4771,2019-05-23,13.0,14.0,13.06,13.85
4770,2019-05-22,13.0,14.0,13.23,14.0
4769,2019-05-21,12.8,13.65,13.28,12.8
4768,2019-05-20,13.0,13.9,13.15,13.9
4767,2019-05-17,12.69,13.45,13.08,12.69
4766,2019-05-16,12.73,13.29,13.04,13.29
4765,2019-05-15,12.85,13.49,13.18,12.85
4764,2019-05-14,12.75,14.05,13.43,14.05
4763,2019-05-13,13.25,14.35,13.35,13.5
4762,2019-05-10,13.3,13.9,13.52,13.8
4761,2019-05-09,13.32,13.92,13.76,13.53
4760,2019-05-08,13.5,14.01,13.63,14.0
4759,2019-05-07,13.56,14.69,13.82,14.25
4758,2019-05-06,14.1,14.75,14.2,14.1
4757,2019-05-03,14.3,14.82,14.71,14.7
4756,2019-05-02,14.3,14.8,14.69,14.3
4755,2019-04-30,14.2,14.89,14.27,14.25
4754,2019-04-26,13.7,14.75,14.16,14.2
4753,2019-04-25,14.1,14.43,14.39,14.19
4752,2019-04-24,11.6,14.5,13.93,14.1
4751,2019-04-23,14.0,14.9,14.16,14.5
4750,2019-04-22,14.06,15.01,14.28,14.6
4749,2019-04-18,14.5,15.5,14.59,15.3
4748,2019-04-16,15.0,15.89,15.13,15.89
4747,2019-04-15,15.5,15.93,15.52,15.93
4746,2019-04-12,15.15,15.89,15.43,15.25
4745,2019-04-11,15.25,16.0,15.42,15.54
4744,2019-04-10,15.4,16.45,15.54,15.45
4743,2019-04-09,14.0,15.7,15.22,14.0
4742,2019-04-08,13.75,14.2,13.9,13.75
4741,2019-04-05,13.55,14.18,13.62,13.8
4740,2019-04-04,13.3,13.8,13.75,13.4
4739,2019-04-03,13.4,13.89,13.58,13.6
4738,2019-04-02,13.5,13.83,13.57,13.53
4737,2019-04-01,13.41,14.87,13.53,14.5
4736,2019-03-28,13.7,14.4,14.17,14.25
4735,2019-03-27,13.55,14.24,14.1,13.55
4734,2019-03-26,13.51,14.15,13.98,13.65
4733,2019-03-25,13.38,13.78,13.62,13.5
4732,2019-03-22,13.16,14.36,13.38,14.05
4731,2019-03-20,14.0,15.8,14.09,15.0
4730,2019-03-19,13.76,14.98,14.66,13.95
4729,2019-03-18,13.32,13.98,13.56,13.5
4728,2019-03-15,13.0,13.74,13.05,13.3
4727,2019-03-14,12.9,13.5,13.22,13.0
4726,2019-03-13,12.15,13.45,13.15,12.41
4725,2019-03-12,11.8,12.27,12.15,11.8
4724,2019-03-11,11.4,12.48,12.05,11.4
4723,2019-03-08,11.16,11.84,11.67,11.42
4722,2019-03-07,11.45,11.75,11.5,11.7
4721,2019-03-06,11.3,11.99,11.83,11.7
4720,2019-03-05,11.5,11.98,11.8,11.6
4719,2019-03-01,11.0,11.86,11.47,11.55
4718,2019-02-28,11.42,11.74,11.54,11.5
4717,2019-02-27,11.3,11.99,11.58,11.66
4716,2019-02-26,11.46,12.09,11.63,11.55
4715,2019-02-25,11.5,12.59,11.78,12.59
4714,2019-02-22,12.05,12.35,12.25,12.16
4713,2019-02-21,11.75,12.3,12.16,11.75
4712,2019-02-20,11.5,12.32,11.79,11.9
4711,2019-02-19,11.5,12.15,11.8,11.55
4710,2019-02-18,11.63,12.1,11.69,11.99
4709,2019-02-15,11.7,12.2,11.86,11.7
4708,2019-02-14,11.85,12.41,12.29,12.0
4707,2019-02-12,11.61,13.0,12.56,12.15
4706,2019-02-11,11.17,12.25,11.98,11.86
4705,2019-02-08,11.03,11.85,11.62,11.12
4704,2019-02-07,11.01,11.38,11.14,11.11
4703,2019-02-06,11.0,11.85,11.07,11.15
4702,2019-02-05,11.03,12.67,11.09,11.71
4701,2019-02-04,11.7,12.22,11.98,12.0
4700,2019-02-01,11.5,12.34,12.28,11.65
4699,2019-01-31,11.56,12.34,11.73,11.75
4698,2019-01-30,11.01,11.67,11.58,11.01
4697,2019-01-29,11.0,11.8,11.25,11.37
4696,2019-01-28,11.31,12.0,11.33,11.89
4695,2019-01-25,11.41,12.55,11.89,12.12
4694,2019-01-24,11.83,12.44,12.23,11.83
4693,2019-01-23,12.11,12.35,12.13,12.35
4692,2019-01-22,12.0,12.4,12.28,12.0
4691,2019-01-21,11.75,12.6,12.32,11.75
4690,2019-01-18,11.76,12.44,12.36,12.15
4689,2019-01-17,12.01,12.5,12.15,12.01
4688,2019-01-16,12.15,12.26,12.15,12.21
4687,2019-01-15,12.21,12.7,12.28,12.35
4686,2019-01-14,11.8,12.49,12.35,12.15
4685,2019-01-11,11.62,12.2,11.9,11.98
4684,2019-01-10,11.21,12.75,11.58,12.26
4683,2019-01-09,12.16,12.85,12.44,12.17
4682,2019-01-08,12.0,12.65,12.41,12.64
4681,2019-01-07,12.25,13.25,12.45,13.1
4680,2019-01-04,12.8,13.3,12.93,12.95
4679,2019-01-03,12.6,13.25,12.68,12.95
4678,2019-01-02,12.7,13.5,12.97,13.5
4677,2019-01-01,13.0,13.75,13.43,13.6
4676,2018-12-31,13.11,13.64,13.24,13.6
4675,2018-12-28,12.8,13.64,13.56,12.8
4674,2018-12-27,12.62,13.75,13.24,12.8
4673,2018-12-26,12.08,12.89,12.88,12.08
4672,2018-12-24,12.35,12.75,12.39,12.6
4671,2018-12-21,12.44,13.39,12.54,13.3
4670,2018-12-20,12.7,13.49,13.18,13.41
4669,2018-12-19,13.0,13.49,13.13,13.49
4668,2018-12-18,12.99,14.2,13.18,13.25
4667,2018-12-17,12.95,13.5,13.23,12.95
4666,2018-12-14,13.0,13.5,13.39,13.3
4665,2018-12-13,13.06,13.51,13.32,13.06
4664,2018-12-12,12.24,13.62,13.42,12.24
4663,2018-12-11,12.07,12.9,12.39,12.45
4662,2018-12-10,12.35,12.85,12.45,12.35
4661,2018-12-07,12.45,13.29,12.74,12.5
4660,2018-12-06,12.2,12.89,12.33,12.33
4659,2018-12-05,12.54,13.75,12.64,13.75
4658,2018-12-04,13.05,13.5,13.15,13.1
4657,2018-12-03,12.86,13.35,13.28,12.96
4656,2018-11-30,12.27,12.95,12.95,12.33
4655,2018-11-29,12.27,12.5,12.34,12.27
4654,2018-11-28,12.27,13.38,12.38,13.0
4653,2018-11-27,12.59,13.0,12.91,12.59
4652,2018-11-26,12.72,13.15,12.84,12.98
4651,2018-11-22,12.6,13.35,12.75,12.6
4650,2018-11-21,12.9,13.5,13.14,13.5
4649,2018-11-20,13.31,13.88,13.48,13.53
4648,2018-11-19,13.0,13.98,13.75,13.26
4647,2018-11-16,13.06,13.76,13.62,13.06
4646,2018-11-15,13.11,13.79,13.62,13.31
4645,2018-11-14,13.51,13.7,13.67,13.58
4644,2018-11-13,12.31,13.18,13.05,12.5
4643,2018-11-12,12.22,13.0,12.57,12.5
4642,2018-11-09,11.65,12.72,12.5,11.65
4641,2018-11-07,11.9,12.12,12.12,12.12
4640,2018-11-06,11.5,12.05,11.55,11.9
4639,2018-11-05,11.44,11.99,11.91,11.45
4638,2018-11-02,11.21,11.79,11.79,11.21
4637,2018-11-01,11.1,11.46,11.23,11.1
4636,2018-10-31,10.5,10.92,10.92,10.5
4635,2018-10-30,10.05,10.44,10.4,10.05
4634,2018-10-29,9.57,9.99,9.99,9.96
4633,2018-10-26,9.04,9.77,9.52,9.11
4632,2018-10-25,9.49,10.0,9.51,9.89
4631,2018-10-24,9.95,10.94,9.98,10.9
4630,2018-10-23,10.45,11.18,10.47,11.18
4629,2018-10-22,11.0,11.8,11.0,11.1
4628,2018-10-19,10.79,11.78,11.57,10.8
4627,2018-10-17,11.08,11.95,11.23,11.42
4626,2018-10-16,11.0,11.75,11.66,11.3
4625,2018-10-15,11.0,11.48,11.26,11.0
4624,2018-10-12,10.87,11.48,11.15,10.87
4623,2018-10-11,10.76,11.39,11.14,11.0
4622,2018-10-10,11.0,11.9,11.24,11.9
4621,2018-10-09,11.3,11.85,11.36,11.55
4620,2018-10-08,11.25,12.24,11.51,12.24
4619,2018-10-05,11.4,11.9,11.74,11.9
4618,2018-10-04,11.25,11.9,11.38,11.25
4617,2018-10-03,11.0,11.9,11.78,11.4
4616,2018-10-01,11.31,11.75,11.34,11.4
4615,2018-09-28,11.86,12.84,11.9,12.48
4614,2018-09-27,12.17,13.0,12.48,12.23
4613,2018-09-26,12.31,12.88,12.47,12.85
4612,2018-09-25,12.51,13.39,12.56,13.39
4611,2018-09-24,13.15,13.55,13.16,13.55
4610,2018-09-21,13.81,14.8,13.84,14.8
4609,2018-09-19,14.06,15.0,14.53,15.0
4608,2018-09-18,14.27,15.5,14.39,15.5
4607,2018-09-17,14.77,15.3,15.0,15.04
4606,2018-09-14,15.0,15.89,15.04,15.8
4605,2018-09-12,15.3,16.0,15.45,16.0
4604,2018-09-11,15.07,16.0,15.56,15.6
4603,2018-09-10,15.6,16.7,15.81,16.7
4602,2018-09-07,15.6,16.6,15.98,16.5
4601,2018-09-06,15.52,16.25,16.17,16.25
4600,2018-09-05,15.13,16.45,15.86,16.0
4599,2018-09-04,15.65,17.28,15.89,17.28
4598,2018-09-03,15.9,16.47,16.47,15.9
4597,2018-08-31,13.07,14.98,14.98,13.62
4596,2018-08-30,11.55,13.86,13.62,13.4
4595,2018-08-29,12.5,13.04,12.6,12.85
4594,2018-08-28,12.35,13.69,12.74,13.69
4593,2018-08-27,12.93,13.74,13.01,13.08
4592,2018-08-24,13.1,13.9,13.24,13.9
4591,2018-08-23,13.0,14.05,13.69,14.05
4590,2018-08-21,13.35,14.2,13.93,13.75
4589,2018-08-20,13.41,14.25,13.49,14.25
4588,2018-08-17,13.8,14.4,14.1,14.25
4587,2018-08-16,13.2,14.47,14.12,13.2
4586,2018-08-14,13.3,14.0,13.88,13.6
4585,2018-08-13,13.12,13.53,13.27,13.2
4584,2018-08-10,13.5,13.99,13.58,13.81
4583,2018-08-09,13.31,14.25,14.07,13.51
4582,2018-08-08,13.11,14.38,13.83,13.11
4581,2018-08-07,13.5,14.25,13.6,13.5
4580,2018-08-06,12.51,13.65,13.52,12.61
4579,2018-08-03,12.3,13.05,13.03,12.61
4578,2018-08-02,12.5,12.8,12.56,12.54
4577,2018-08-01,12.55,12.88,12.61,12.83
4576,2018-07-31,12.5,12.96,12.52,12.77
4575,2018-07-30,12.69,13.29,12.8,12.7
4574,2018-07-27,12.71,12.99,12.76,12.72
4573,2018-07-26,12.56,13.0,12.7,12.8
4572,2018-07-25,12.62,13.2,12.95,13.2
4571,2018-07-24,12.37,13.04,12.76,12.37
4570,2018-07-23,12.0,12.7,12.7,12.0
4569,2018-07-20,12.47,12.75,12.57,12.5
4568,2018-07-19,12.42,12.94,12.69,12.42
4567,2018-07-18,12.39,12.75,12.6,12.39
4566,2018-07-17,12.4,12.95,12.6,12.95
4565,2018-07-16,12.3,12.91,12.56,12.35
4564,2018-07-13,12.53,13.0,12.7,12.61
4563,2018-07-12,12.44,13.49,13.01,12.44
4562,2018-07-11,12.95,13.83,13.0,13.05
4561,2018-07-10,12.8,13.85,13.36,13.11
4560,2018-07-09,13.23,13.87,13.34,13.23
4559,2018-07-06,13.0,13.65,13.23,13.6
4558,2018-07-05,13.26,14.39,13.57,14.0
4557,2018-07-04,13.33,14.27,13.76,13.75
4556,2018-07-03,13.05,13.63,13.63,13.1
4555,2018-07-02,12.8,13.77,12.99,12.8
4554,2018-06-29,12.56,13.18,13.16,12.56
4553,2018-06-28,11.6,12.56,12.56,12.4
4552,2018-06-27,11.8,12.18,11.97,12.18
4551,2018-06-26,12.24,12.95,12.33,12.55
4550,2018-06-25,12.54,13.37,12.71,13.0
4549,2018-06-22,12.4,13.25,13.17,12.79
4548,2018-06-21,12.63,12.99,12.93,12.63
4547,2018-06-20,12.55,13.48,13.02,12.56
4546,2018-06-19,12.34,13.15,12.95,12.34
4545,2018-06-18,12.3,13.0,12.61,12.78
4544,2018-06-15,12.21,12.8,12.45,12.21
4543,2018-06-14,12.05,12.8,12.63,12.05
4542,2018-06-13,12.41,13.0,12.45,12.41
4541,2018-06-12,12.22,12.75,12.75,12.41
4540,2018-06-11,12.21,13.1,12.65,12.7
4539,2018-06-08,12.01,12.7,12.61,12.3
4538,2018-06-07,11.75,12.75,12.12,12.0
4537,2018-06-06,11.5,12.35,12.24,11.5
4536,2018-06-05,11.78,12.7,11.93,11.92
4535,2018-06-04,12.26,12.5,12.4,12.35
4534,2018-06-01,12.85,13.94,12.9,13.54
4533,2018-05-31,13.36,14.35,13.52,14.35
4532,2018-05-30,13.05,13.98,13.9,13.98
4531,2018-05-29,13.32,13.32,13.32,13.32
4530,2018-05-28,12.68,12.69,12.69,12.68
4529,2018-05-25,11.52,12.09,12.09,11.52
4528,2018-05-24,11.51,12.11,11.52,12.11
4527,2018-05-23,11.5,11.99,11.69,11.5
4526,2018-05-22,11.31,12.4,11.65,12.39
4525,2018-05-21,11.87,12.5,11.9,11.95
4524,2018-05-18,12.35,13.17,12.47,12.6
4523,2018-05-17,12.58,13.0,12.99,12.58
4522,2018-05-16,12.5,13.19,13.0,12.7
4521,2018-05-15,12.78,13.6,12.94,13.4
4520,2018-05-14,13.2,14.0,13.23,13.87
4519,2018-05-11,13.2,13.99,13.79,13.3
4518,2018-05-10,13.5,13.8,13.6,13.61
4517,2018-05-09,13.4,13.97,13.61,13.83
4516,2018-05-08,13.3,14.1,13.52,14.1
4515,2018-05-07,13.31,14.29,13.54,14.01
4514,2018-05-04,13.21,14.04,14.01,13.21
4513,2018-05-03,13.0,13.4,13.38,13.0
4512,2018-05-02,12.95,13.94,12.99,13.15
4511,2018-04-30,13.35,13.75,13.47,13.35
4510,2018-04-27,13.52,13.9,13.71,13.52
4509,2018-04-26,13.07,13.88,13.55,13.07
4508,2018-04-25,13.3,14.15,13.41,13.78
4507,2018-04-24,13.55,14.3,13.78,14.3
4506,2018-04-23,13.67,14.4,13.86,13.75
4505,2018-04-20,13.64,14.2,13.81,13.64
4504,2018-04-19,13.26,14.28,14.01,13.26
4503,2018-04-18,13.25,14.06,13.6,13.35
4502,2018-04-17,13.25,14.25,13.42,13.5
4501,2018-04-16,13.63,14.65,13.7,14.65
4500,2018-04-13,14.2,15.35,14.34,15.35
4499,2018-04-12,14.0,15.17,14.9,15.0
4498,2018-04-11,12.55,14.45,14.45,13.77
4497,2018-04-10,12.6,13.54,13.14,12.6
4496,2018-04-09,12.05,12.85,12.6,12.05
4495,2018-04-06,11.01,12.34,12.17,11.1
4494,2018-04-05,11.0,11.5,11.22,11.0
4493,2018-04-04,10.67,11.11,11.1,10.75
4492,2018-04-03,10.5,10.95,10.59,10.7
4491,2018-04-02,10.3,11.0,10.85,11.0
4490,2018-03-28,10.31,10.72,10.64,10.7
4489,2018-03-27,9.91,10.31,10.29,10.0
4488,2018-03-26,9.6,10.43,9.82,10.08
4487,2018-03-23,10.07,10.84,10.08,10.84
4486,2018-03-22,10.18,10.79,10.6,10.25
4485,2018-03-21,10.05,10.56,10.5,10.49
4484,2018-03-20,9.9,10.73,10.06,10.2
4483,2018-03-19,10.3,11.23,10.4,11.23
4482,2018-03-16,10.05,10.75,10.75,10.05
4481,2018-03-15,10.2,10.5,10.24,10.45
4480,2018-03-14,10.26,10.65,10.57,10.26
4479,2018-03-13,10.06,10.47,10.44,10.06
4478,2018-03-12,9.81,10.45,9.98,10.31
4477,2018-03-09,10.12,10.5,10.27,10.12
4476,2018-03-08,10.07,10.95,10.47,10.21
4475,2018-03-07,10.6,11.35,10.6,11.35
4474,2018-03-06,10.9,11.77,11.15,11.77
4473,2018-03-05,11.27,11.79,11.31,11.5
4472,2018-03-01,11.5,12.44,11.52,11.6
4471,2018-02-28,12.05,12.5,12.06,12.05
4470,2018-02-27,12.26,12.96,12.53,12.59
4469,2018-02-26,11.95,12.82,12.59,12.5
4468,2018-02-23,11.93,12.49,12.21,12.24
4467,2018-02-22,11.78,12.22,11.91,11.78
4466,2018-02-21,11.51,12.1,11.94,11.74
4465,2018-02-20,11.0,11.53,11.53,11.44
4464,2018-02-19,10.76,11.25,10.99,11.25
4463,2018-02-16,11.21,11.85,11.23,11.23
4462,2018-02-15,11.42,12.0,11.68,11.61
4461,2018-02-14,11.62,12.49,11.85,12.49
4460,2018-02-12,11.91,12.33,12.04,12.0
4459,2018-02-09,11.47,12.45,12.33,11.47
4458,2018-02-08,11.6,12.58,11.95,11.8
4457,2018-02-07,11.86,12.24,11.99,12.0
4456,2018-02-06,12.18,12.79,12.18,12.22
4455,2018-02-05,11.8,12.91,12.82,11.9
4454,2018-02-02,12.26,13.44,12.3,13.44
4453,2018-02-01,12.52,13.18,12.9,13.18
4452,2018-01-31,12.3,12.61,12.56,12.61
4451,2018-01-30,12.01,12.01,12.01,12.01
4450,2018-01-29,11.39,11.44,11.44,11.39
4449,2018-01-25,10.61,11.15,10.9,11.0
4448,2018-01-24,10.55,11.25,10.62,10.55
4447,2018-01-23,10.66,11.4,10.85,10.7
4446,2018-01-22,10.7,11.38,11.0,10.7
4445,2018-01-19,10.2,10.9,10.89,10.38
4444,2018-01-18,10.37,11.23,10.39,10.45
4443,2018-01-17,10.46,11.39,10.91,11.39
4442,2018-01-16,10.87,11.74,10.9,11.74
4441,2018-01-15,11.15,11.65,11.44,11.65
4440,2018-01-12,11.0,11.79,11.23,11.05
4439,2018-01-11,10.71,11.8,11.37,10.71
4438,2018-01-10,11.0,11.65,11.25,11.3
4437,2018-01-09,11.2,12.0,11.3,11.5
4436,2018-01-08,11.0,11.92,11.75,11.05
4435,2018-01-05,10.56,11.48,11.36,11.48
4434,2018-01-04,10.11,10.94,10.94,10.15
4433,2018-01-03,10.0,10.69,10.42,10.35
4432,2018-01-02,10.03,10.67,10.19,10.67
4431,2018-01-01,10.0,10.87,10.19,10.87
4430,2017-12-29,10.1,10.55,10.36,10.1
4429,2017-12-28,10.01,10.75,10.09,10.5
