,Date,Low,High,Close,Open
4658,2019-06-13,56.05,58.7,56.65,58.7
4657,2019-06-12,56.0,59.8,56.75,59.8
4656,2019-06-11,56.1,57.95,57.35,56.7
4655,2019-06-10,55.05,56.7,55.9,56.55
4654,2019-06-07,54.0,55.45,54.65,54.25
4653,2019-06-06,54.2,55.75,54.5,55.75
4652,2019-06-04,55.25,56.6,55.75,56.0
4651,2019-06-03,55.95,58.2,56.15,57.8
4650,2019-05-31,56.5,60.2,57.75,59.5
4649,2019-05-30,59.0,61.95,59.4,60.1
4648,2019-05-29,55.6,62.2,60.15,57.7
4647,2019-05-28,57.0,61.5,57.7,59.85
4646,2019-05-27,58.0,67.5,59.1,64.0
4645,2019-05-24,58.5,62.95,62.15,62.0
4644,2019-05-23,59.5,63.65,60.0,60.4
4643,2019-05-22,53.4,62.4,60.4,55.95
4642,2019-05-21,53.3,54.9,53.8,53.85
4641,2019-05-20,52.75,54.95,54.45,53.0
4640,2019-05-17,49.7,52.5,51.8,50.9
4639,2019-05-16,48.55,51.8,50.05,51.8
4638,2019-05-15,49.25,50.5,49.45,49.35
4637,2019-05-14,48.9,49.9,49.5,49.05
4636,2019-05-13,49.6,51.0,49.75,51.0
4635,2019-05-10,51.0,52.0,51.25,52.0
4634,2019-05-09,50.5,52.2,51.0,50.5
4633,2019-05-08,51.0,52.7,51.25,52.2
4632,2019-05-07,50.45,53.9,52.35,53.35
4631,2019-05-06,53.1,54.4,53.95,53.1
4630,2019-05-03,53.05,53.85,53.45,53.1
4629,2019-05-02,53.0,54.25,53.3,54.0
4628,2019-04-30,53.1,54.65,53.65,54.35
4627,2019-04-26,54.2,54.95,54.3,54.55
4626,2019-04-25,54.3,55.45,54.4,55.45
4625,2019-04-24,54.15,55.85,55.5,54.95
4624,2019-04-23,54.1,56.0,54.75,55.1
4623,2019-04-22,55.1,56.0,55.1,56.0
4622,2019-04-18,55.1,56.3,56.05,55.7
4621,2019-04-16,55.2,56.65,55.7,55.55
4620,2019-04-15,54.9,56.7,55.55,54.9
4619,2019-04-12,55.0,56.05,55.75,56.0
4618,2019-04-11,55.0,56.1,55.15,55.5
4617,2019-04-10,55.15,56.8,56.05,56.0
4616,2019-04-09,55.75,57.3,56.2,56.5
4615,2019-04-08,56.1,57.6,57.0,57.2
4614,2019-04-05,56.6,58.0,57.1,57.0
4613,2019-04-04,55.0,57.5,56.6,56.5
4612,2019-04-03,56.4,58.0,56.95,56.5
4611,2019-04-02,56.0,57.4,56.35,57.4
4610,2019-04-01,54.65,57.8,56.0,55.9
4609,2019-03-28,54.2,55.7,54.8,55.7
4608,2019-03-27,53.0,56.4,54.1,54.25
4607,2019-03-26,54.0,57.6,55.45,55.25
4606,2019-03-25,55.0,58.7,55.2,57.4
4605,2019-03-22,56.55,58.25,57.4,58.0
