,Date,Low,High,Close,Open
3234,2019-06-13,5.91,6.8,6.08,6.5
3233,2019-06-12,5.91,6.38,6.23,6.03
3232,2019-06-11,5.82,6.9,5.97,6.8
3231,2019-06-10,6.52,8.0,6.94,8.0
3230,2019-06-07,7.96,8.24,7.99,8.22
3229,2019-06-06,8.12,8.8,8.21,8.46
3228,2019-06-04,8.41,8.74,8.62,8.55
3227,2019-06-03,8.35,8.66,8.48,8.52
3226,2019-05-31,8.5,9.2,8.6,9.2
3225,2019-05-30,9.0,9.4,9.06,9.25
3224,2019-05-29,7.9,8.82,8.65,8.25
3223,2019-05-28,8.3,8.65,8.37,8.65
3222,2019-05-27,8.36,8.5,8.49,8.5
3221,2019-05-24,8.15,8.48,8.44,8.35
3220,2019-05-23,8.0,8.75,8.23,8.75
3219,2019-05-22,8.42,9.05,8.47,8.47
3218,2019-05-21,8.24,8.5,8.3,8.49
3217,2019-05-20,8.32,9.0,8.5,8.75
3216,2019-05-17,8.17,8.5,8.23,8.25
3215,2019-05-16,8.2,8.49,8.29,8.45
3214,2019-05-15,8.48,8.84,8.49,8.55
3213,2019-05-14,8.15,8.58,8.44,8.15
3212,2019-05-13,8.8,9.06,8.82,9.02
3211,2019-05-10,9.1,9.54,9.19,9.32
3210,2019-05-09,9.01,9.64,9.19,9.21
3209,2019-05-08,9.25,9.5,9.31,9.25
3208,2019-05-07,9.4,9.8,9.49,9.8
3207,2019-05-06,9.52,9.95,9.9,9.75
3206,2019-05-03,9.9,10.34,9.93,10.31
3205,2019-05-02,10.32,10.72,10.44,10.48
3204,2019-04-30,10.51,11.05,10.67,10.88
3203,2019-04-26,10.71,11.1,10.99,10.94
3202,2019-04-25,10.85,11.25,10.96,11.25
3201,2019-04-24,10.7,11.25,10.97,10.9
3200,2019-04-23,10.8,11.19,10.99,11.19
3199,2019-04-22,10.86,11.15,11.01,11.15
3198,2019-04-18,11.04,11.4,11.06,11.22
3197,2019-04-16,11.15,11.65,11.43,11.15
3196,2019-04-15,11.37,12.0,11.47,11.74
3195,2019-04-12,11.42,12.24,11.61,11.42
3194,2019-04-11,11.1,11.39,11.14,11.3
3193,2019-04-10,11.13,11.62,11.2,11.62
3192,2019-04-09,11.14,11.7,11.7,11.15
3191,2019-04-08,11.3,11.53,11.32,11.31
3190,2019-04-05,11.11,11.88,11.3,11.87
3189,2019-04-04,11.61,12.11,11.68,11.94
3188,2019-04-03,11.24,11.9,11.4,11.25
3187,2019-04-02,11.21,11.54,11.26,11.38
3186,2019-04-01,11.2,11.55,11.21,11.48
3185,2019-03-28,11.02,11.55,11.25,11.18
3184,2019-03-27,10.8,11.05,10.88,10.96
3183,2019-03-26,10.88,11.39,11.07,10.95
3182,2019-03-25,10.83,11.24,11.08,11.24
3181,2019-03-22,10.96,11.36,11.2,11.21
3180,2019-03-20,11.26,11.6,11.29,11.5
3179,2019-03-19,11.43,11.99,11.56,11.99
3178,2019-03-18,11.27,11.65,11.42,11.4
3177,2019-03-15,11.5,11.75,11.56,11.7
3176,2019-03-14,11.61,12.25,11.76,12.0
3175,2019-03-13,11.43,11.73,11.48,11.73
3174,2019-03-12,11.4,12.1,11.67,11.4
3173,2019-03-11,11.06,11.36,11.29,11.33
3172,2019-03-08,11.15,11.4,11.32,11.21
3171,2019-03-07,11.2,11.65,11.33,11.65
3170,2019-03-06,11.43,12.35,11.6,11.85
3169,2019-03-05,10.88,11.95,11.9,11.0
3168,2019-03-01,10.75,11.3,11.13,11.25
3167,2019-02-28,10.9,11.3,11.06,11.3
3166,2019-02-27,11.0,11.65,11.37,11.0
3165,2019-02-26,10.5,11.47,11.15,11.2
3164,2019-02-25,12.0,13.5,12.08,13.21
3163,2019-02-22,11.35,12.15,11.93,11.35
3162,2019-02-21,10.16,11.2,10.84,10.55
3161,2019-02-20,9.4,11.5,10.43,11.2
3160,2019-02-19,10.2,11.47,10.95,10.2
3159,2019-02-18,9.5,9.95,9.66,9.9
3158,2019-02-15,9.53,9.9,9.76,9.61
3157,2019-02-14,9.74,10.24,9.93,9.95
3156,2019-02-12,9.6,10.0,9.87,9.71
3155,2019-02-11,9.6,10.08,9.81,10.08
3154,2019-02-08,9.71,10.99,10.13,10.0
3153,2019-02-07,9.6,10.35,10.03,10.0
3152,2019-02-06,9.63,10.52,9.9,10.52
3151,2019-02-05,9.65,10.43,10.13,10.08
3150,2019-02-04,10.2,12.3,10.56,12.0
3149,2019-02-01,11.96,13.6,12.25,12.05
3148,2019-01-31,10.7,12.28,12.03,11.0
3147,2019-01-30,11.0,11.7,11.08,11.2
3146,2019-01-29,11.1,11.55,11.21,11.3
3145,2019-01-28,11.17,12.15,11.45,11.83
3144,2019-01-25,11.61,12.64,11.79,12.1
3143,2019-01-24,12.26,12.89,12.7,12.7
3142,2019-01-23,12.4,13.05,12.71,12.4
3141,2019-01-22,12.3,12.65,12.49,12.65
3140,2019-01-21,12.91,13.85,13.0,13.4
3139,2019-01-18,13.52,14.22,13.61,14.2
3138,2019-01-17,13.5,14.92,14.26,13.89
3137,2019-01-16,12.98,14.42,13.75,12.98
3136,2019-01-15,12.15,12.58,12.45,12.35
3135,2019-01-14,12.29,12.8,12.4,12.8
3134,2019-01-11,12.7,13.41,12.82,13.41
3133,2019-01-10,13.12,13.85,13.69,13.3
3132,2019-01-09,13.1,14.55,13.58,13.84
3131,2019-01-08,12.6,14.95,13.93,13.35
3130,2019-01-07,10.99,12.96,12.96,10.99
3129,2019-01-04,10.56,10.88,10.8,10.56
3128,2019-01-03,10.5,11.5,10.73,11.5
3127,2019-01-02,10.61,11.89,11.3,11.89
3126,2019-01-01,11.3,11.94,11.9,11.9
3125,2018-12-31,11.23,11.75,11.72,11.65
3124,2018-12-28,11.25,11.66,11.48,11.29
3123,2018-12-27,11.05,11.18,11.08,11.12
3122,2018-12-26,11.0,11.34,11.3,11.15
3121,2018-12-24,11.01,11.35,11.35,11.34
3120,2018-12-21,11.24,11.75,11.25,11.75
3119,2018-12-20,11.5,12.2,11.86,11.9
3118,2018-12-19,11.3,11.8,11.45,11.3
3117,2018-12-18,10.7,11.01,10.77,10.7
3116,2018-12-17,10.71,11.3,10.77,10.75
3115,2018-12-14,10.25,11.2,10.84,10.75
3114,2018-12-13,10.7,11.84,11.06,11.43
3113,2018-12-12,10.2,12.31,11.38,10.3
3112,2018-12-11,9.74,10.35,10.26,10.05
3111,2018-12-10,10.1,10.5,10.23,10.5
3110,2018-12-07,10.3,10.59,10.43,10.59
3109,2018-12-06,10.17,10.31,10.29,10.26
3108,2018-12-05,10.45,10.79,10.45,10.79
3107,2018-12-04,10.3,10.7,10.58,10.31
3106,2018-12-03,10.39,10.6,10.39,10.55
3105,2018-11-30,10.35,10.57,10.46,10.54
3104,2018-11-29,10.41,10.9,10.51,10.69
3103,2018-11-28,10.41,10.8,10.45,10.64
3102,2018-11-27,10.61,11.25,10.72,10.61
3101,2018-11-26,10.58,11.08,10.68,11.08
3100,2018-11-22,10.85,11.29,10.89,11.29
3099,2018-11-21,11.0,11.29,11.29,11.07
3098,2018-11-20,10.92,11.39,10.95,11.2
3097,2018-11-19,11.11,11.99,11.27,11.99
3096,2018-11-16,11.16,11.84,11.18,11.3
3095,2018-11-15,11.35,11.84,11.54,11.71
3094,2018-11-14,11.49,11.93,11.85,11.55
3093,2018-11-13,11.25,11.7,11.55,11.46
3092,2018-11-12,11.11,11.7,11.5,11.6
3091,2018-11-09,10.65,11.83,11.74,11.83
3090,2018-11-07,11.1,11.89,11.73,11.1
3089,2018-11-06,11.26,11.97,11.55,11.52
3088,2018-11-05,11.25,11.48,11.35,11.48
3087,2018-11-02,11.37,11.84,11.55,11.7
3086,2018-11-01,10.76,11.36,11.24,11.11
3085,2018-10-31,10.75,11.1,11.0,10.76
3084,2018-10-30,10.71,11.28,10.72,11.27
3083,2018-10-29,10.22,11.24,11.08,10.22
3082,2018-10-26,10.35,10.74,10.61,10.46
3081,2018-10-25,10.29,10.45,10.45,10.29
3080,2018-10-24,10.42,10.6,10.53,10.6
3079,2018-10-23,10.33,10.96,10.46,10.71
3078,2018-10-22,10.66,11.47,10.74,11.32
3077,2018-10-19,11.0,11.8,11.47,11.5
3076,2018-10-17,11.23,11.88,11.51,11.88
3075,2018-10-16,10.86,12.09,11.54,10.86
3074,2018-10-15,10.5,11.3,11.1,11.11
3073,2018-10-12,11.03,11.39,11.26,11.15
3072,2018-10-11,10.28,10.85,10.75,10.5
3071,2018-10-10,9.65,10.89,10.72,9.65
3070,2018-10-09,9.73,10.4,9.93,10.4
3069,2018-10-08,10.19,10.9,10.22,10.71
3068,2018-10-05,11.05,11.51,11.17,11.21
3067,2018-10-04,11.01,11.69,11.34,11.01
3066,2018-10-03,10.55,12.3,11.55,10.6
3065,2018-10-01,10.1,11.7,10.55,11.2
3064,2018-09-28,11.15,11.9,11.25,11.3
3063,2018-09-27,11.15,12.2,11.7,11.85
3062,2018-09-26,11.75,12.75,11.85,12.1
3061,2018-09-25,11.15,13.45,12.1,13.45
3060,2018-09-24,13.4,14.25,13.6,14.0
3059,2018-09-21,13.3,15.3,13.95,15.3
3058,2018-09-19,14.8,15.55,15.1,15.2
3057,2018-09-18,14.95,15.75,15.0,15.75
3056,2018-09-17,15.35,16.1,15.65,15.4
3055,2018-09-14,13.1,15.7,15.55,15.35
3054,2018-09-12,14.75,15.65,14.9,15.5
3053,2018-09-11,15.6,16.05,15.7,16.0
3052,2018-09-10,15.65,16.5,16.1,16.4
3051,2018-09-07,15.6,16.15,15.95,15.75
3050,2018-09-06,15.45,15.9,15.6,15.65
3049,2018-09-05,15.35,15.8,15.45,15.4
3048,2018-09-04,15.3,16.4,15.4,15.3
3047,2018-09-03,15.25,15.6,15.35,15.4
3046,2018-08-31,14.8,15.9,15.65,15.1
3045,2018-08-30,15.4,15.65,15.4,15.5
3044,2018-08-29,15.0,15.75,15.55,15.0
3043,2018-08-28,15.1,15.55,15.15,15.55
3042,2018-08-27,15.05,16.2,15.15,16.2
3041,2018-08-24,15.05,16.2,15.15,16.0
3040,2018-08-23,15.8,16.4,16.05,16.2
3039,2018-08-21,16.0,16.35,16.2,16.25
3038,2018-08-20,15.65,16.75,16.55,15.65
3037,2018-08-17,16.3,16.95,16.55,16.3
3036,2018-08-16,15.7,16.2,15.8,15.95
3035,2018-08-14,15.75,16.7,16.15,16.5
3034,2018-08-13,16.15,16.7,16.25,16.7
3033,2018-08-10,16.5,17.4,16.8,16.9
3032,2018-08-09,15.8,16.4,16.15,16.2
3031,2018-08-08,15.45,16.2,15.6,16.2
3030,2018-08-07,15.8,16.65,16.0,16.5
3029,2018-08-06,16.15,16.95,16.35,16.45
3028,2018-08-03,16.05,16.8,16.4,16.55
3027,2018-08-02,15.9,16.9,16.55,16.0
3026,2018-08-01,16.1,16.55,16.45,16.2
3025,2018-07-31,16.25,16.9,16.6,16.25
3024,2018-07-30,15.75,16.6,16.55,16.0
3023,2018-07-27,15.65,16.0,16.0,16.0
3022,2018-07-26,15.45,15.9,15.65,15.85
3021,2018-07-25,15.45,16.45,15.55,15.55
3020,2018-07-24,15.05,16.3,16.05,15.05
3019,2018-07-23,14.8,15.6,15.2,15.0
3018,2018-07-20,14.7,15.05,14.85,14.7
3017,2018-07-19,14.6,15.1,14.95,15.0
3016,2018-07-18,14.65,15.2,14.85,15.0
3015,2018-07-17,14.05,15.1,14.95,15.0
3014,2018-07-16,14.65,15.55,15.0,15.4
3013,2018-07-13,15.45,16.7,15.9,16.55
3012,2018-07-12,16.75,17.15,16.75,17.15
3011,2018-07-11,16.6,17.0,16.8,16.6
3010,2018-07-10,16.25,17.45,16.9,17.2
3009,2018-07-09,16.1,17.35,17.2,16.55
3008,2018-07-06,16.1,16.75,16.35,16.1
3007,2018-07-05,16.0,16.85,16.4,16.5
3006,2018-07-04,16.7,17.2,16.85,17.0
3005,2018-07-03,16.65,17.25,17.1,16.8
3004,2018-07-02,16.5,17.6,17.0,17.25
3003,2018-06-29,17.0,17.75,17.55,17.0
3002,2018-06-28,16.55,17.25,16.7,17.25
3001,2018-06-27,17.2,19.05,17.25,18.9
3000,2018-06-26,18.8,19.3,19.1,19.05
2999,2018-06-25,18.5,19.05,19.0,18.65
2998,2018-06-22,18.4,19.3,18.65,18.5
2997,2018-06-21,18.1,18.75,18.5,18.75
2996,2018-06-20,18.65,19.25,19.1,18.7
2995,2018-06-19,18.5,19.2,18.8,19.2
2994,2018-06-18,18.55,19.3,19.2,18.55
2993,2018-06-15,18.2,19.25,18.75,19.0
2992,2018-06-14,18.5,18.95,18.9,18.5
2991,2018-06-13,18.0,19.65,18.85,18.2
2990,2018-06-12,17.25,18.0,17.9,17.65
2989,2018-06-11,16.5,18.35,17.85,17.65
2988,2018-06-08,15.55,17.8,17.6,15.55
2987,2018-06-07,15.35,16.65,16.65,15.5
2986,2018-06-06,14.6,15.3,15.15,14.65
2985,2018-06-05,15.15,15.8,15.15,15.8
2984,2018-06-04,15.9,16.95,15.9,16.95
2983,2018-06-01,16.6,17.4,16.7,17.3
2982,2018-05-31,16.6,17.4,16.95,17.4
2981,2018-05-30,16.1,16.8,16.6,16.1
2980,2018-05-29,16.3,17.25,16.4,17.1
2979,2018-05-28,16.25,16.95,16.95,16.25
2978,2018-05-25,15.75,16.25,16.15,16.2
2977,2018-05-24,15.35,15.95,15.8,15.7
2976,2018-05-23,15.5,16.3,15.6,15.85
2975,2018-05-22,15.35,16.2,15.75,16.0
2974,2018-05-21,15.9,18.05,15.9,17.7
2973,2018-05-18,17.45,19.0,17.65,19.0
2972,2018-05-17,18.3,20.0,18.5,20.0
2971,2018-05-16,19.4,20.3,19.85,19.6
2970,2018-05-15,19.65,21.2,19.8,21.1
2969,2018-05-14,20.45,22.55,20.65,22.55
2968,2018-05-11,21.5,22.25,21.7,21.75
2967,2018-05-10,22.0,22.45,22.05,22.3
2966,2018-05-09,22.3,22.8,22.45,22.35
2965,2018-05-08,22.6,23.1,22.95,22.6
2964,2018-05-07,22.7,23.9,22.9,23.0
2963,2018-05-04,22.0,23.2,22.85,22.4
2962,2018-05-03,21.55,22.7,22.4,21.55
2961,2018-05-02,21.7,23.25,21.85,23.0
2960,2018-04-30,21.85,22.5,22.15,21.85
2959,2018-04-27,21.7,22.3,21.85,21.9
2958,2018-04-26,21.2,21.7,21.25,21.6
2957,2018-04-25,21.1,22.35,21.55,21.45
2956,2018-04-24,20.95,21.85,21.45,20.95
2955,2018-04-23,20.25,21.5,20.6,20.6
2954,2018-04-20,20.2,20.55,20.4,20.4
2953,2018-04-19,20.45,20.85,20.45,20.7
2952,2018-04-18,20.45,20.9,20.55,20.85
2951,2018-04-17,20.4,21.4,20.65,21.25
2950,2018-04-16,20.0,21.25,20.95,20.9
2949,2018-04-13,20.2,20.7,20.4,20.55
2948,2018-04-12,20.1,20.85,20.4,20.25
2947,2018-04-11,20.2,21.0,20.8,21.0
2946,2018-04-10,20.1,21.45,20.65,21.0
2945,2018-04-09,20.65,21.5,20.8,20.75
2944,2018-04-06,20.7,21.5,21.0,21.5
2943,2018-04-05,20.7,21.35,20.85,21.0
2942,2018-04-04,20.05,21.3,20.35,21.0
2941,2018-04-03,19.95,21.35,20.85,20.7
2940,2018-04-02,20.0,20.4,20.4,20.0
2939,2018-03-28,19.3,20.25,19.45,19.35
2938,2018-03-27,19.75,20.4,19.9,20.0
2937,2018-03-26,19.55,20.85,19.55,20.35
2936,2018-03-23,20.3,20.8,20.55,20.6
2935,2018-03-22,21.05,22.3,21.35,22.05
2934,2018-03-21,22.0,23.3,22.15,23.3
2933,2018-03-20,21.5,23.35,22.75,21.5
2932,2018-03-19,21.65,23.55,22.25,23.55
2931,2018-03-16,22.45,22.45,22.45,22.45
2930,2018-03-15,21.4,21.4,21.4,21.4
2929,2018-03-14,20.4,20.4,20.4,20.4
2928,2018-03-13,18.0,19.45,19.45,18.7
2927,2018-03-12,18.4,19.95,18.55,19.95
2926,2018-03-09,19.0,20.2,19.35,19.85
2925,2018-03-08,19.65,21.15,19.9,21.1
2924,2018-03-07,20.45,21.4,20.65,20.65
2923,2018-03-06,21.05,22.8,21.45,22.8
2922,2018-03-05,21.9,22.5,22.15,22.35
2921,2018-03-01,22.4,23.1,22.5,22.9
2920,2018-02-28,22.95,23.4,22.95,23.05
2919,2018-02-27,23.35,23.9,23.6,23.75
2918,2018-02-26,23.3,23.85,23.7,23.85
2917,2018-02-23,23.1,23.9,23.7,23.45
2916,2018-02-22,22.7,23.5,23.05,23.4
2915,2018-02-21,23.35,24.3,23.75,24.3
2914,2018-02-20,22.5,23.85,23.65,23.0
2913,2018-02-19,22.3,23.25,22.8,23.05
2912,2018-02-16,23.0,23.95,23.45,23.95
2911,2018-02-15,23.6,24.75,23.75,24.2
2910,2018-02-14,24.25,25.2,24.4,24.35
2909,2018-02-12,24.05,25.55,24.8,25.25
2908,2018-02-09,23.05,24.8,24.35,23.05
2907,2018-02-08,23.0,24.7,24.0,24.0
2906,2018-02-07,22.5,23.65,23.55,22.9
2905,2018-02-06,22.5,23.0,22.55,22.5
2904,2018-02-05,23.6,24.9,23.65,23.6
2903,2018-02-02,24.8,25.9,24.8,25.15
2902,2018-02-01,25.6,27.1,26.1,27.1
2901,2018-01-31,26.0,27.45,26.55,26.0
2900,2018-01-30,26.7,27.6,26.75,27.35
2899,2018-01-29,28.0,29.6,28.1,29.0
2898,2018-01-25,27.15,28.25,28.2,27.15
2897,2018-01-24,26.8,28.1,26.95,28.1
2896,2018-01-23,27.85,29.2,28.05,29.2
2895,2018-01-22,28.5,30.0,28.75,28.65
2894,2018-01-19,29.75,30.55,29.75,29.75
2893,2018-01-18,31.3,34.35,31.3,34.35
2892,2018-01-17,29.8,32.9,32.9,30.05
2891,2018-01-16,31.35,32.25,31.35,31.35
2890,2018-01-15,33.0,36.2,33.0,36.2
2889,2018-01-12,32.7,34.7,34.7,34.7
2888,2018-01-11,33.05,33.05,33.05,33.05
2887,2018-01-10,30.9,31.5,31.5,31.0
2886,2018-01-09,28.85,30.0,30.0,28.9
2885,2018-01-08,27.85,28.75,28.6,28.25
2884,2018-01-05,27.2,28.25,27.4,27.3
2883,2018-01-04,26.95,27.9,27.3,27.2
2882,2018-01-03,25.5,27.8,27.7,26.05
2881,2018-01-02,26.2,27.9,26.5,27.4
2880,2018-01-01,26.05,27.85,27.55,27.8
2879,2017-12-29,25.6,27.3,26.55,26.0
2878,2017-12-28,25.5,26.75,26.0,26.1
2877,2017-12-27,26.5,28.65,26.5,28.25
2876,2017-12-26,25.05,27.85,27.85,25.45
2875,2017-12-22,24.1,26.4,25.35,26.4
2874,2017-12-21,23.1,24.9,24.9,23.3
2873,2017-12-20,21.75,23.4,22.65,21.9
2872,2017-12-19,21.25,21.8,21.6,21.4
2871,2017-12-18,21.25,22.2,21.4,22.2
2870,2017-12-15,21.55,22.9,21.95,22.2
