,Date,Low,High,Close,Open
4873,2019-06-13,1.5,1.64,1.55,1.64
4872,2019-06-12,1.43,1.57,1.57,1.55
4871,2019-06-11,1.4,1.5,1.5,1.43
4870,2019-06-10,1.38,1.43,1.43,1.43
4869,2019-06-07,1.43,1.5,1.43,1.5
4868,2019-06-06,1.48,1.5,1.5,1.5
4867,2019-06-04,1.53,1.61,1.55,1.61
4866,2019-06-03,1.54,1.61,1.61,1.54
4865,2019-05-31,1.47,1.54,1.54,1.47
4864,2019-05-30,1.47,1.47,1.47,1.47
4863,2019-05-29,1.35,1.4,1.4,1.35
4862,2019-05-28,1.42,1.42,1.42,1.42
4861,2019-05-27,1.42,1.42,1.42,1.42
4860,2019-05-24,1.42,1.48,1.42,1.42
4859,2019-05-23,1.42,1.42,1.42,1.42
4858,2019-05-22,1.36,1.36,1.36,1.36
4857,2019-05-21,1.36,1.36,1.36,1.36
4856,2019-05-20,1.35,1.42,1.35,1.42
4855,2019-05-17,1.31,1.37,1.37,1.31
4854,2019-05-16,1.31,1.31,1.31,1.31
4853,2019-05-15,1.3,1.33,1.31,1.33
4852,2019-05-14,1.27,1.33,1.33,1.33
4851,2019-05-13,1.21,1.33,1.33,1.27
4850,2019-05-10,1.27,1.39,1.27,1.27
4849,2019-05-09,1.33,1.33,1.33,1.33
4848,2019-05-08,1.4,1.47,1.4,1.4
4847,2019-05-07,1.47,1.61,1.47,1.47
4846,2019-05-06,1.4,1.54,1.54,1.4
4845,2019-05-03,1.47,1.61,1.47,1.54
4844,2019-05-02,1.4,1.54,1.54,1.47
4843,2019-04-30,1.35,1.47,1.47,1.42
4842,2019-04-26,1.42,1.47,1.42,1.47
4841,2019-04-25,1.47,1.47,1.47,1.47
4840,2019-04-24,1.47,1.47,1.47,1.47
4839,2019-04-23,1.47,1.54,1.47,1.54
4838,2019-04-22,1.54,1.54,1.54,1.54
4837,2019-04-18,1.54,1.7,1.54,1.7
4836,2019-04-16,1.62,1.7,1.62,1.7
4835,2019-04-15,1.7,1.7,1.7,1.7
4834,2019-04-12,1.62,1.7,1.7,1.7
4833,2019-04-11,1.62,1.78,1.62,1.78
4832,2019-04-10,1.62,1.7,1.7,1.7
4831,2019-04-09,1.62,1.7,1.7,1.62
4830,2019-04-08,1.65,1.7,1.7,1.65
4829,2019-04-05,1.6,1.65,1.65,1.6
4828,2019-04-04,1.6,1.68,1.68,1.6
4827,2019-04-03,1.52,1.68,1.68,1.6
4826,2019-04-02,1.6,1.75,1.6,1.75
4825,2019-04-01,1.52,1.68,1.68,1.6
4824,2019-03-28,1.63,1.79,1.68,1.63
4823,2019-03-27,1.56,1.71,1.71,1.6
4822,2019-03-26,1.63,1.78,1.63,1.78
4821,2019-03-25,1.64,1.8,1.7,1.64
4820,2019-03-22,1.72,1.9,1.72,1.81
4819,2019-03-20,1.81,1.9,1.81,1.9
4818,2019-03-19,1.8,1.9,1.9,1.8
4817,2019-03-18,1.89,1.89,1.89,1.89
4816,2019-03-15,1.72,1.89,1.89,1.81
4815,2019-03-14,1.81,1.99,1.81,1.9
4814,2019-03-13,1.9,2.0,1.9,2.0
4813,2019-03-12,2.0,2.0,2.0,2.0
4812,2019-03-11,1.98,2.18,2.1,1.98
4811,2019-03-08,1.9,2.08,2.08,1.9
4810,2019-03-07,1.81,1.99,1.99,1.9
4809,2019-03-06,1.72,1.9,1.9,1.9
4808,2019-03-05,1.65,1.81,1.81,1.73
4807,2019-03-01,1.57,1.73,1.73,1.62
4806,2019-02-28,1.62,1.65,1.65,1.62
4805,2019-02-27,1.62,1.7,1.7,1.7
4804,2019-02-26,1.62,1.7,1.7,1.62
4803,2019-02-25,1.49,1.62,1.62,1.55
4802,2019-02-22,1.41,1.55,1.55,1.41
4801,2019-02-21,1.48,1.53,1.48,1.53
4800,2019-02-20,1.53,1.6,1.53,1.6
4799,2019-02-19,1.56,1.6,1.6,1.56
4798,2019-02-18,1.62,1.63,1.63,1.62
4797,2019-02-15,1.63,1.7,1.7,1.63
4796,2019-02-14,1.71,1.8,1.71,1.71
4795,2019-02-12,1.81,1.9,1.82,1.81
4794,2019-02-11,1.9,2.0,1.9,1.95
4793,2019-02-08,2.0,2.0,2.0,2.0
4792,2019-02-07,2.0,2.0,2.0,2.0
4791,2019-02-06,2.1,2.21,2.1,2.21
4790,2019-02-05,2.21,2.21,2.21,2.21
4789,2019-02-04,2.32,2.55,2.32,2.55
4788,2019-02-01,2.44,2.55,2.44,2.55
4787,2019-01-31,2.56,2.69,2.56,2.69
4786,2019-01-30,2.69,2.69,2.69,2.69
4785,2019-01-29,2.57,2.77,2.57,2.58
4784,2019-01-28,2.7,2.98,2.7,2.98
