,Date,Low,High,Close,Open
371,2019-06-13,1.45,1.52,1.52,1.51
370,2019-06-12,1.36,1.47,1.47,1.4
369,2019-06-11,1.34,1.45,1.4,1.45
368,2019-06-10,1.3,1.41,1.41,1.35
367,2019-06-07,1.33,1.41,1.35,1.33
366,2019-06-06,1.4,1.4,1.4,1.4
365,2019-06-04,1.47,1.5,1.47,1.5
364,2019-06-03,1.54,1.54,1.54,1.54
363,2019-05-31,1.62,1.62,1.62,1.62
362,2019-05-30,1.69,1.85,1.7,1.85
361,2019-05-29,1.71,1.82,1.77,1.71
360,2019-05-28,1.8,1.8,1.8,1.8
359,2019-05-27,1.89,1.95,1.89,1.95
358,2019-05-24,1.8,1.98,1.98,1.98
357,2019-05-23,1.89,1.95,1.89,1.91
356,2019-05-22,1.87,2.01,1.97,1.96
355,2019-05-21,1.92,2.0,1.95,2.0
354,2019-05-20,1.9,1.95,1.92,1.95
353,2019-05-17,1.85,1.92,1.86,1.92
352,2019-05-16,1.82,1.95,1.92,1.95
351,2019-05-15,1.77,1.91,1.89,1.89
350,2019-05-14,1.83,1.9,1.84,1.85
349,2019-05-13,1.82,1.94,1.92,1.9
348,2019-05-10,1.88,1.97,1.89,1.94
347,2019-05-09,1.79,1.9,1.88,1.9
346,2019-05-08,1.86,1.95,1.88,1.9
345,2019-05-07,1.9,2.0,1.92,1.97
344,2019-05-06,1.92,2.0,1.93,1.93
343,2019-05-03,1.95,2.05,1.96,2.0
342,2019-05-02,1.95,2.1,2.04,2.1
341,2019-04-30,1.99,2.04,2.0,2.02
340,2019-04-26,2.06,2.22,2.09,2.22
339,2019-04-25,2.01,2.14,2.12,2.06
338,2019-04-24,2.05,2.15,2.1,2.1
337,2019-04-23,2.05,2.2,2.06,2.05
336,2019-04-22,2.03,2.19,2.1,2.14
335,2019-04-18,2.06,2.17,2.09,2.06
334,2019-04-16,2.04,2.13,2.13,2.04
333,2019-04-15,2.02,2.1,2.05,2.02
332,2019-04-12,2.05,2.13,2.1,2.1
331,2019-04-11,2.06,2.15,2.09,2.15
330,2019-04-10,2.1,2.18,2.14,2.18
329,2019-04-09,2.07,2.25,2.13,2.25
328,2019-04-08,2.04,2.2,2.15,2.2
327,2019-04-05,1.99,2.1,2.1,1.99
326,2019-04-04,2.0,2.15,2.0,2.07
325,2019-04-03,2.0,2.15,2.07,2.0
324,2019-04-02,2.05,2.25,2.07,2.25
323,2019-04-01,2.03,2.21,2.15,2.03
322,2019-03-28,2.0,2.18,2.15,2.0
321,2019-03-27,2.06,2.16,2.08,2.12
320,2019-03-26,2.04,2.23,2.16,2.06
319,2019-03-25,2.14,2.29,2.14,2.29
318,2019-03-22,2.23,2.45,2.25,2.44
317,2019-03-20,2.16,2.34,2.34,2.2
316,2019-03-19,2.19,2.3,2.23,2.3
315,2019-03-18,2.28,2.47,2.3,2.29
314,2019-03-15,2.35,2.57,2.4,2.57
313,2019-03-14,2.46,2.7,2.46,2.6
312,2019-03-13,2.38,2.59,2.58,2.58
311,2019-03-12,2.26,2.48,2.48,2.3
310,2019-03-11,2.35,2.45,2.37,2.45
309,2019-03-08,2.45,2.58,2.47,2.47
308,2019-03-07,2.49,2.69,2.57,2.68
307,2019-03-06,2.57,2.65,2.62,2.65
306,2019-03-05,2.48,2.53,2.53,2.52
305,2019-03-01,2.31,2.55,2.41,2.31
304,2019-02-28,2.43,2.43,2.43,2.43
303,2019-02-27,2.55,2.55,2.55,2.55
302,2019-02-26,2.68,2.68,2.68,2.68
301,2019-02-25,2.82,3.1,2.82,3.1
300,2019-02-22,2.96,2.96,2.96,2.96
299,2019-02-21,2.82,2.82,2.82,2.82
298,2019-02-20,2.69,2.69,2.69,2.69
297,2019-02-19,2.57,2.57,2.57,2.57
296,2019-02-18,2.45,2.45,2.45,2.45
295,2019-02-15,2.34,2.34,2.34,2.34
