,Date,Low,High,Close,Open
4680,2019-06-13,3.68,3.71,3.7,3.7
4679,2019-06-12,3.86,3.87,3.87,3.87
4678,2019-06-11,3.84,4.04,4.03,4.0
4677,2019-06-10,3.9,4.04,4.04,3.95
4676,2019-06-07,4.1,4.3,4.1,4.3
4675,2019-06-06,3.95,4.35,4.3,3.95
4674,2019-06-04,4.15,4.3,4.15,4.3
4673,2019-06-03,4.34,4.35,4.34,4.34
4672,2019-05-31,4.55,4.7,4.56,4.55
4671,2019-05-30,4.4,4.48,4.48,4.4
4670,2019-05-29,4.12,4.52,4.48,4.31
4669,2019-05-28,4.09,4.51,4.31,4.5
4668,2019-05-27,4.3,4.3,4.3,4.3
4667,2019-05-24,4.08,4.1,4.1,4.1
4666,2019-05-23,4.1,4.5,4.28,4.1
4665,2019-05-22,4.25,4.3,4.3,4.25
4664,2019-05-21,4.47,4.5,4.47,4.47
4663,2019-05-20,4.6,4.98,4.7,4.7
4662,2019-05-17,4.75,5.2,4.75,5.2
4661,2019-05-16,4.61,4.99,4.99,4.85
4660,2019-05-15,4.85,4.9,4.85,4.85
4659,2019-05-14,4.72,5.1,5.1,4.72
4658,2019-05-13,4.9,5.11,4.9,5.11
4657,2019-05-10,5.02,5.51,5.11,5.51
4656,2019-05-09,4.9,5.25,5.25,4.9
4655,2019-05-08,4.9,5.4,5.0,4.9
4654,2019-05-07,5.1,5.16,5.15,5.11
4653,2019-05-06,5.28,5.79,5.35,5.28
4652,2019-05-03,5.04,5.56,5.55,5.04
4651,2019-05-02,5.0,5.52,5.3,5.25
4650,2019-04-30,5.23,5.77,5.26,5.25
4649,2019-04-26,5.44,5.72,5.5,5.45
4648,2019-04-25,5.25,5.73,5.72,5.28
4647,2019-04-24,5.23,5.48,5.48,5.25
4646,2019-04-23,5.2,5.73,5.23,5.23
4645,2019-04-22,5.45,5.93,5.46,5.45
4644,2019-04-18,5.65,5.95,5.65,5.95
4643,2019-04-16,5.89,6.2,5.9,6.2
4642,2019-04-15,5.8,6.2,6.19,5.98
4641,2019-04-12,5.95,6.3,5.98,5.96
4640,2019-04-11,5.84,6.35,6.23,5.9
4639,2019-04-10,6.05,6.34,6.05,6.05
4638,2019-04-09,6.03,6.64,6.04,6.64
4637,2019-04-08,5.81,6.34,6.34,6.34
4636,2019-04-05,6.06,6.37,6.06,6.1
