,Date,Low,High,Close,Open
4654,2019-06-13,28.2,28.2,28.2,28.2
4653,2019-06-12,28.25,29.4,29.4,28.25
4652,2019-06-11,28.55,28.7,28.6,28.55
4651,2019-06-10,28.3,30.0,30.0,28.3
4650,2019-06-07,27.6,29.8,29.75,29.8
4649,2019-06-06,28.05,29.45,29.05,28.05
4648,2019-06-04,27.35,29.7,29.5,29.0
4647,2019-06-03,28.65,31.25,28.75,28.65
4646,2019-05-31,30.15,30.15,30.15,30.15
4645,2019-05-30,31.0,31.7,31.7,31.0
4644,2019-05-29,31.1,32.7,31.1,32.7
4643,2019-05-28,32.0,33.0,32.0,33.0
4642,2019-05-27,32.05,34.35,33.65,33.0
4641,2019-05-24,31.55,33.35,33.05,31.55
4640,2019-05-23,31.4,33.9,31.4,33.9
4639,2019-05-22,29.2,34.95,31.2,29.2
4638,2019-05-21,32.5,35.0,32.9,32.5
4637,2019-05-20,32.2,33.85,32.9,33.0
4636,2019-05-17,30.6,31.95,30.75,30.6
4635,2019-05-16,30.05,33.9,30.9,33.9
4634,2019-05-15,30.1,34.5,30.85,30.1
4633,2019-05-14,29.35,33.4,31.05,29.35
4632,2019-05-13,30.9,33.5,31.25,33.5
4631,2019-05-10,31.0,33.5,33.5,31.0
4630,2019-05-09,30.55,33.95,31.2,30.55
4629,2019-05-08,31.7,33.3,32.75,32.5
4628,2019-05-07,32.65,35.0,33.65,35.0
4627,2019-05-06,31.35,35.9,34.25,31.35
4626,2019-05-03,33.3,37.5,34.2,37.5
4625,2019-05-02,34.55,37.8,35.3,37.8
4624,2019-04-30,35.0,37.0,35.5,36.6
4623,2019-04-26,36.4,37.0,36.6,37.0
4622,2019-04-25,35.2,37.5,36.65,35.2
4621,2019-04-24,38.4,38.4,38.4,38.4
4620,2019-04-23,38.4,38.4,38.4,38.4
4619,2019-04-22,38.4,38.4,38.4,38.4
4618,2019-04-18,36.5,40.35,37.45,39.75
4617,2019-04-16,35.3,39.8,38.0,35.3
4616,2019-04-15,36.65,38.0,36.75,37.6
4615,2019-04-12,37.55,38.3,38.25,38.25
4614,2019-04-11,37.15,37.15,37.15,37.15
4613,2019-04-10,36.7,38.75,37.15,38.75
4612,2019-04-09,37.05,39.8,37.25,39.8
4611,2019-04-08,37.9,39.8,38.0,39.8
4610,2019-04-05,37.15,38.7,37.7,37.15
4609,2019-04-04,37.0,38.4,38.4,37.15
