,Date,Low,High,Close,Open
4378,2019-06-13,500.55,512.9,506.0,510.7
4377,2019-06-12,499.0,511.25,509.25,508.15
4376,2019-06-11,499.5,518.5,509.35,518.5
4375,2019-06-10,510.25,526.25,512.05,520.5
4374,2019-06-07,517.3,526.0,520.75,526.0
4373,2019-06-06,523.05,538.9,526.6,532.3
4372,2019-06-04,530.55,540.65,532.4,540.65
4371,2019-06-03,535.8,550.3,539.1,541.2
4370,2019-05-31,530.3,547.75,538.65,547.75
4369,2019-05-30,540.0,548.5,542.5,544.35
4368,2019-05-29,540.05,554.7,544.1,540.05
4367,2019-05-28,537.2,547.95,545.0,539.95
4366,2019-05-27,535.5,554.45,536.95,550.0
4365,2019-05-24,542.7,563.75,549.65,552.0
4364,2019-05-23,545.25,564.95,550.0,558.0
4363,2019-05-22,548.65,573.0,551.35,565.0
4362,2019-05-21,548.55,564.9,561.6,552.0
4361,2019-05-20,533.55,552.6,547.4,540.05
4360,2019-05-17,528.1,535.15,529.05,533.0
4359,2019-05-16,530.05,543.95,532.8,543.95
4358,2019-05-15,530.0,542.5,531.9,540.95
4357,2019-05-14,526.95,544.95,533.5,537.15
4356,2019-05-13,530.6,543.65,540.25,537.7
4355,2019-05-10,521.7,548.45,541.45,526.05
4354,2019-05-09,526.95,535.0,531.65,534.9
4353,2019-05-08,528.25,554.25,535.55,552.0
4352,2019-05-07,552.0,564.85,556.25,560.55
4351,2019-05-06,545.15,567.0,554.65,557.0
4350,2019-05-03,556.35,574.95,559.45,574.95
4349,2019-05-02,557.75,567.85,565.25,559.5
4348,2019-04-30,551.6,573.45,570.15,567.15
4347,2019-04-26,567.0,576.6,568.35,568.85
4346,2019-04-25,562.0,572.75,568.45,562.05
4345,2019-04-24,559.85,572.25,563.3,560.6
4344,2019-04-23,557.8,569.6,561.3,562.5
4343,2019-04-22,553.55,576.0,564.4,563.0
4342,2019-04-18,563.2,578.0,566.8,577.1
4341,2019-04-16,572.25,587.75,577.0,575.0
4340,2019-04-15,551.0,581.7,569.4,551.0
4339,2019-04-12,542.75,558.0,555.75,547.5
4338,2019-04-11,539.3,552.8,548.6,544.0
4337,2019-04-10,543.6,554.05,548.0,546.0
4336,2019-04-09,529.0,555.0,545.2,529.0
4335,2019-04-08,528.25,547.5,532.5,540.0
4334,2019-04-05,540.9,551.5,546.7,550.0
4333,2019-04-04,536.8,554.8,540.75,551.1
4332,2019-04-03,542.0,579.25,550.0,569.95
4331,2019-04-02,540.85,573.9,565.75,552.9
4330,2019-04-01,548.0,565.0,551.9,564.0
4329,2019-03-28,561.0,572.0,564.75,569.9
4328,2019-03-27,534.5,565.8,560.3,536.0
4327,2019-03-26,527.0,543.0,530.75,530.8
4326,2019-03-25,510.0,540.0,528.1,510.0
4325,2019-03-22,517.3,526.0,521.4,523.05
4324,2019-03-20,520.85,530.0,526.25,520.85
4323,2019-03-19,509.25,525.9,519.2,513.0
4322,2019-03-18,505.15,519.8,507.6,517.0
4321,2019-03-15,505.0,526.75,515.25,507.0
4320,2019-03-14,502.6,508.5,505.15,505.0
4319,2019-03-13,496.4,511.0,503.05,503.0
4318,2019-03-12,497.2,510.0,507.55,506.0
4317,2019-03-11,488.25,502.5,501.35,502.0
4316,2019-03-08,481.2,491.5,490.35,490.0
4315,2019-03-07,472.0,482.95,481.2,472.25
4314,2019-03-06,473.65,483.0,475.2,478.05
4313,2019-03-05,452.0,481.0,478.1,454.4
4312,2019-03-01,448.0,461.1,453.55,461.1
4311,2019-02-28,447.0,455.5,452.2,455.5
4310,2019-02-27,446.5,476.0,451.1,458.0
4309,2019-02-26,447.25,460.0,454.15,460.0
4308,2019-02-25,461.25,493.0,464.45,464.0
4307,2019-02-22,450.0,470.0,462.15,450.0
4306,2019-02-21,438.0,465.0,458.65,438.05
4305,2019-02-20,433.05,448.15,436.2,433.05
4304,2019-02-19,379.0,438.95,432.45,434.8
