,Date,Low,High,Close,Open
4223,2019-06-13,152.8,157.75,155.8,156.3
4222,2019-06-12,153.2,156.9,153.55,154.6
4221,2019-06-11,153.6,156.85,156.05,156.0
4220,2019-06-10,150.45,155.75,154.9,154.8
4219,2019-06-07,150.45,155.95,152.85,154.8
4218,2019-06-06,152.25,162.6,153.35,162.6
4217,2019-06-04,157.2,164.0,163.05,158.0
4216,2019-06-03,153.4,157.5,156.45,154.8
4215,2019-05-31,151.85,155.6,153.95,153.8
4214,2019-05-30,151.45,154.8,153.2,152.6
4213,2019-05-29,151.5,154.5,152.5,154.5
4212,2019-05-28,152.85,157.7,155.45,155.2
4211,2019-05-27,155.55,167.0,157.95,155.55
4210,2019-05-24,147.15,155.0,153.6,150.05
4209,2019-05-23,148.05,152.05,148.8,150.5
4208,2019-05-22,147.25,152.2,148.15,147.75
4207,2019-05-21,146.25,151.2,147.9,148.2
4206,2019-05-20,144.0,149.45,146.6,145.2
4205,2019-05-17,142.3,144.95,143.1,143.2
4204,2019-05-16,141.0,144.0,142.95,141.0
4203,2019-05-15,139.65,144.25,140.65,144.0
4202,2019-05-14,134.9,142.45,141.3,135.7
4201,2019-05-13,134.15,145.0,135.75,144.85
4200,2019-05-10,141.75,146.05,144.3,145.75
4199,2019-05-09,140.2,145.5,144.5,141.05
4198,2019-05-08,138.8,146.8,141.05,143.95
4197,2019-05-07,141.9,154.65,144.05,154.0
4196,2019-05-06,152.2,156.1,154.05,155.0
4195,2019-05-03,154.0,157.5,156.35,155.0
4194,2019-05-02,150.0,156.0,153.9,150.15
4193,2019-04-30,144.5,153.0,150.2,147.9
4192,2019-04-26,144.7,149.5,148.1,147.0
4191,2019-04-25,141.0,150.0,145.7,141.2
4190,2019-04-24,139.6,142.9,140.3,142.3
4189,2019-04-23,139.95,145.0,141.0,142.8
4188,2019-04-22,142.4,145.7,143.35,145.0
4187,2019-04-18,139.35,146.8,145.75,140.6
4186,2019-04-16,136.35,142.0,140.65,137.5
4185,2019-04-15,137.4,140.95,140.0,138.2
4184,2019-04-12,134.25,139.25,138.45,135.15
4183,2019-04-11,133.1,137.5,133.95,137.0
4182,2019-04-10,134.5,137.75,135.75,134.5
4181,2019-04-09,128.8,135.0,134.45,133.1
4180,2019-04-08,131.8,146.9,132.75,146.9
4179,2019-04-05,138.45,146.2,145.35,139.4
4178,2019-04-04,135.5,139.25,137.75,139.25
4177,2019-04-03,137.65,140.6,138.55,138.9
4176,2019-04-02,136.7,141.0,139.1,139.6
4175,2019-04-01,137.8,143.0,139.6,138.0
4174,2019-03-28,134.15,137.25,134.95,134.25
4173,2019-03-27,132.1,135.5,134.75,134.4
4172,2019-03-26,131.7,135.0,132.2,134.75
4171,2019-03-25,132.6,135.7,133.6,134.0
4170,2019-03-22,127.35,132.4,131.3,127.5
4169,2019-03-20,126.7,129.8,127.6,129.0
4168,2019-03-19,129.5,134.0,130.2,134.0
4167,2019-03-18,132.2,137.75,133.45,133.0
4166,2019-03-15,131.5,135.3,132.85,133.65
4165,2019-03-14,130.65,136.5,133.15,131.3
4164,2019-03-13,129.95,134.7,130.65,134.3
4163,2019-03-12,131.25,136.7,135.15,133.6
4162,2019-03-11,130.55,136.8,133.65,135.5
4161,2019-03-08,133.65,138.4,135.5,136.0
4160,2019-03-07,133.0,144.0,136.25,142.5
4159,2019-03-06,137.5,144.0,141.45,137.5
4158,2019-03-05,133.5,138.0,137.25,134.5
