,Date,Low,High,Close,Open
4873,2019-06-13,1377.75,1405.65,1390.9,1404.55
4872,2019-06-12,1347.05,1469.5,1408.15,1347.05
4871,2019-06-11,1347.45,1419.0,1386.2,1359.95
4870,2019-06-10,1329.65,1348.75,1336.4,1334.5
4869,2019-06-07,1303.55,1335.8,1330.15,1318.55
4868,2019-06-06,1322.75,1366.0,1327.3,1365.05
4867,2019-06-04,1360.05,1380.0,1366.65,1380.0
4866,2019-06-03,1365.0,1389.5,1380.05,1372.0
4865,2019-05-31,1375.1,1409.65,1383.55,1405.0
4864,2019-05-30,1387.05,1406.75,1391.75,1400.0
4863,2019-05-29,1385.15,1411.6,1392.75,1411.6
4862,2019-05-28,1355.65,1415.9,1398.85,1360.0
4861,2019-05-27,1335.35,1368.1,1353.2,1338.0
4860,2019-05-24,1307.1,1334.0,1325.35,1313.55
4859,2019-05-23,1286.85,1338.45,1317.65,1338.45
4858,2019-05-22,1264.0,1319.0,1313.55,1264.0
4857,2019-05-21,1269.0,1321.9,1283.25,1299.0
4856,2019-05-20,1231.05,1348.85,1306.3,1231.05
4855,2019-05-17,1217.9,1252.1,1241.75,1237.0
4854,2019-05-16,1197.05,1229.9,1224.15,1199.65
4853,2019-05-15,1184.0,1226.0,1190.95,1220.75
4852,2019-05-14,1218.0,1263.1,1224.85,1263.05
4851,2019-05-13,1217.15,1277.9,1238.1,1245.95
4850,2019-05-10,1248.0,1260.0,1255.1,1248.0
4849,2019-05-09,1245.5,1269.0,1252.55,1261.45
4848,2019-05-08,1251.15,1308.7,1262.9,1291.45
4847,2019-05-07,1285.0,1322.65,1291.45,1316.0
4846,2019-05-06,1312.0,1353.0,1319.35,1353.0
4845,2019-05-03,1346.2,1376.0,1352.95,1376.0
4844,2019-05-02,1348.35,1380.0,1376.05,1364.6
4843,2019-04-30,1308.25,1393.0,1368.35,1325.05
4842,2019-04-26,1328.0,1358.0,1332.1,1358.0
4841,2019-04-25,1347.0,1375.0,1350.15,1375.0
4840,2019-04-24,1346.65,1385.3,1368.45,1385.3
4839,2019-04-23,1370.0,1406.8,1381.85,1396.0
4838,2019-04-22,1362.65,1400.0,1383.1,1368.4
4837,2019-04-18,1374.5,1384.6,1378.0,1381.05
4836,2019-04-16,1373.3,1396.5,1381.1,1396.45
4835,2019-04-15,1375.0,1403.0,1382.95,1396.65
4834,2019-04-12,1378.05,1397.85,1394.05,1378.1
4833,2019-04-11,1373.0,1395.0,1392.15,1381.0
4832,2019-04-10,1395.0,1411.85,1397.6,1395.0
4831,2019-04-09,1374.85,1412.7,1394.1,1381.15
4830,2019-04-08,1376.1,1409.5,1383.6,1404.25
4829,2019-04-05,1391.0,1420.0,1409.75,1414.0
4828,2019-04-04,1381.65,1420.0,1413.15,1420.0
4827,2019-04-03,1408.0,1441.25,1411.85,1440.0
4826,2019-04-02,1428.45,1445.25,1434.15,1435.0
4825,2019-04-01,1432.55,1489.0,1438.85,1459.3
4824,2019-03-28,1405.7,1494.9,1471.3,1444.75
4823,2019-03-27,1376.0,1468.65,1438.95,1461.5
4822,2019-03-26,1443.05,1478.0,1463.15,1443.05
4821,2019-03-25,1397.8,1467.4,1443.45,1397.8
4820,2019-03-22,1348.0,1420.0,1389.1,1354.0
4819,2019-03-20,1350.0,1379.0,1353.6,1362.6
4818,2019-03-19,1360.0,1404.4,1367.8,1363.5
4817,2019-03-18,1370.0,1424.4,1382.7,1412.5
4816,2019-03-15,1382.5,1435.25,1391.25,1435.0
4815,2019-03-14,1428.05,1489.35,1441.05,1474.9
4814,2019-03-13,1428.0,1477.95,1472.35,1428.35
4813,2019-03-12,1417.2,1445.0,1430.55,1440.0
4812,2019-03-11,1384.0,1444.9,1427.75,1390.0
4811,2019-03-08,1370.0,1433.45,1387.15,1433.1
4810,2019-03-07,1393.0,1460.0,1428.75,1429.9
4809,2019-03-06,1390.3,1429.9,1414.0,1390.3
4808,2019-03-05,1332.45,1411.0,1389.65,1349.5
4807,2019-03-01,1306.65,1350.0,1335.15,1336.25
4806,2019-02-28,1307.75,1347.0,1318.35,1307.75
4805,2019-02-27,1262.0,1312.45,1291.6,1289.85
4804,2019-02-26,1270.15,1305.9,1285.6,1301.95
4803,2019-02-25,1298.7,1341.2,1308.7,1329.9
4802,2019-02-22,1267.2,1334.4,1316.0,1305.0
4801,2019-02-21,1210.1,1297.75,1279.05,1210.1
4800,2019-02-20,1180.05,1220.0,1198.5,1216.35
4799,2019-02-19,1200.0,1244.5,1201.55,1225.3
4798,2019-02-18,1188.0,1250.2,1210.1,1211.0
4797,2019-02-15,1201.1,1264.4,1208.8,1255.0
4796,2019-02-14,1245.0,1280.0,1267.3,1260.15
4795,2019-02-12,1270.0,1304.0,1275.5,1289.6
4794,2019-02-11,1286.75,1343.85,1294.05,1343.85
4793,2019-02-08,1330.95,1344.9,1343.05,1332.3
4792,2019-02-07,1301.0,1349.85,1340.9,1305.25
4791,2019-02-06,1305.0,1350.5,1318.35,1332.0
4790,2019-02-05,1325.0,1384.15,1331.5,1372.75
4789,2019-02-04,1344.0,1379.4,1354.3,1344.15
4788,2019-02-01,1340.0,1361.2,1346.5,1359.0
4787,2019-01-31,1326.05,1373.3,1339.9,1366.95
4786,2019-01-30,1339.25,1358.0,1350.7,1352.4
4785,2019-01-29,1333.0,1376.15,1346.0,1352.0
4784,2019-01-28,1340.0,1389.3,1344.65,1385.85
4783,2019-01-25,1354.5,1422.0,1362.75,1407.95
4782,2019-01-24,1395.0,1469.95,1400.0,1469.95
4781,2019-01-23,1451.0,1535.0,1468.2,1517.7
4780,2019-01-22,1500.0,1529.0,1524.05,1510.0
4779,2019-01-21,1504.0,1530.0,1513.85,1528.7
4778,2019-01-18,1512.75,1550.95,1517.1,1550.95
4777,2019-01-17,1511.15,1550.0,1515.3,1543.0
4776,2019-01-16,1510.15,1554.0,1543.7,1510.15
4775,2019-01-15,1510.35,1527.0,1514.25,1510.4
4774,2019-01-14,1503.0,1526.0,1511.35,1503.0
4773,2019-01-11,1503.5,1530.0,1505.9,1522.25
4772,2019-01-10,1517.5,1529.05,1521.65,1517.5
4771,2019-01-09,1510.0,1537.0,1513.8,1518.05
4770,2019-01-08,1517.55,1546.0,1524.55,1542.45
4769,2019-01-07,1531.1,1550.7,1536.85,1550.7
4768,2019-01-04,1533.0,1560.0,1544.1,1543.0
4767,2019-01-03,1522.6,1569.3,1561.15,1535.3
4766,2019-01-02,1525.0,1553.75,1540.75,1547.0
