,Date,Low,High,Close,Open
4873,2019-06-13,1424.05,1438.25,1434.55,1432.95
4872,2019-06-12,1417.0,1444.1,1429.45,1422.2
4871,2019-06-11,1410.0,1428.85,1420.65,1423.0
4870,2019-06-10,1376.0,1425.95,1422.2,1376.0
4869,2019-06-07,1363.15,1399.9,1379.3,1385.1
4868,2019-06-06,1359.25,1399.0,1390.9,1375.0
4867,2019-06-04,1365.5,1389.9,1374.8,1369.0
4866,2019-06-03,1316.2,1371.55,1362.8,1325.25
4865,2019-05-31,1319.05,1339.0,1323.65,1339.0
4864,2019-05-30,1303.75,1333.0,1320.2,1323.8
4863,2019-05-29,1314.05,1330.45,1317.75,1328.0
4862,2019-05-28,1309.6,1358.0,1312.35,1358.0
4861,2019-05-27,1311.9,1372.4,1346.55,1360.0
4860,2019-05-24,1330.55,1373.2,1340.3,1370.0
4859,2019-05-23,1365.0,1399.9,1366.8,1399.9
4858,2019-05-22,1375.0,1393.15,1381.2,1379.5
4857,2019-05-21,1362.25,1391.85,1378.4,1365.0
4856,2019-05-20,1350.55,1400.65,1357.8,1389.9
4855,2019-05-17,1333.35,1377.95,1369.45,1348.9
4854,2019-05-16,1316.95,1348.9,1341.0,1326.0
4853,2019-05-15,1300.35,1338.8,1330.05,1307.0
4852,2019-05-14,1302.0,1365.05,1312.25,1363.0
4851,2019-05-13,1349.2,1383.3,1363.0,1370.0
4850,2019-05-10,1328.55,1362.3,1349.9,1356.1
4849,2019-05-09,1345.9,1374.2,1350.95,1351.55
4848,2019-05-08,1334.05,1365.15,1350.5,1350.0
4847,2019-05-07,1351.85,1374.05,1357.4,1369.65
4846,2019-05-06,1367.45,1439.45,1373.25,1429.8
4845,2019-05-03,1436.55,1478.4,1441.25,1455.0
4844,2019-05-02,1450.0,1477.0,1467.3,1455.0
4843,2019-04-30,1436.95,1462.55,1453.8,1448.75
4842,2019-04-26,1445.0,1468.15,1448.75,1466.0
4841,2019-04-25,1457.0,1473.6,1465.15,1469.0
4840,2019-04-24,1442.0,1466.0,1461.9,1450.0
4839,2019-04-23,1408.5,1451.0,1442.55,1436.85
4838,2019-04-22,1408.3,1422.0,1413.0,1416.2
4837,2019-04-18,1419.75,1439.05,1422.15,1431.0
4836,2019-04-16,1410.0,1439.2,1430.25,1413.25
4835,2019-04-15,1400.0,1419.95,1413.25,1400.0
4834,2019-04-12,1381.0,1412.15,1407.05,1381.0
4833,2019-04-11,1368.5,1390.45,1383.5,1385.0
4832,2019-04-10,1388.3,1406.05,1392.1,1403.7
4831,2019-04-09,1383.65,1415.0,1400.35,1390.1
4830,2019-04-08,1389.05,1418.65,1396.95,1415.35
4829,2019-04-05,1401.1,1422.8,1415.35,1401.1
4828,2019-04-04,1386.05,1407.0,1400.9,1397.35
4827,2019-04-03,1383.0,1408.25,1394.05,1383.0
4826,2019-04-02,1376.05,1398.6,1383.4,1387.0
4825,2019-04-01,1383.5,1420.0,1388.2,1414.4
4824,2019-03-28,1369.0,1425.65,1412.6,1375.5
4823,2019-03-27,1356.25,1385.4,1370.8,1370.0
4822,2019-03-26,1334.8,1357.0,1353.5,1338.35
4821,2019-03-25,1324.15,1368.4,1333.6,1368.4
4820,2019-03-22,1346.4,1368.95,1360.3,1351.0
4819,2019-03-20,1334.0,1357.7,1351.0,1347.05
4818,2019-03-19,1336.5,1361.0,1341.05,1343.0
4817,2019-03-18,1331.0,1374.0,1342.05,1374.0
4816,2019-03-15,1358.05,1383.75,1373.9,1364.0
4815,2019-03-14,1339.0,1372.45,1363.7,1369.0
4814,2019-03-13,1342.5,1368.9,1348.35,1367.95
4813,2019-03-12,1341.0,1374.0,1368.95,1341.0
4812,2019-03-11,1325.65,1349.0,1339.15,1339.65
4811,2019-03-08,1327.25,1350.1,1333.0,1350.05
4810,2019-03-07,1338.95,1358.0,1350.9,1347.0
4809,2019-03-06,1301.0,1348.1,1344.4,1301.0
4808,2019-03-05,1276.85,1311.55,1306.45,1280.2
4807,2019-03-01,1271.9,1299.0,1281.85,1285.0
4806,2019-02-28,1276.0,1308.05,1288.8,1308.05
4805,2019-02-27,1290.3,1322.35,1297.1,1316.7
4804,2019-02-26,1282.0,1314.0,1310.1,1300.0
4803,2019-02-25,1300.9,1328.9,1311.8,1316.2
4802,2019-02-22,1285.65,1320.55,1311.1,1286.0
4801,2019-02-21,1266.4,1288.25,1284.7,1270.0
4800,2019-02-20,1256.25,1274.9,1269.6,1266.0
4799,2019-02-19,1257.15,1277.95,1260.95,1268.0
4798,2019-02-18,1255.0,1287.8,1268.25,1255.0
4797,2019-02-15,1239.25,1270.7,1254.45,1260.0
4796,2019-02-14,1248.85,1282.65,1257.95,1260.1
4795,2019-02-12,1183.1,1205.3,1189.0,1204.0
