,Date,Low,High,Close,Open
4873,2019-06-13,2164.0,2201.55,2197.0,2171.05
4872,2019-06-12,2164.0,2190.0,2183.3,2188.3999
4871,2019-06-11,2182.3,2202.95,2190.3501,2202.2
4870,2019-06-10,2177.45,2225.6499,2196.5,2211.0
4869,2019-06-07,2169.3999,2217.2,2209.0,2186.8999
4868,2019-06-06,2176.0,2228.0,2188.1499,2225.0
4867,2019-06-04,2208.45,2234.0,2224.8501,2226.8999
4866,2019-06-03,2189.8999,2231.5,2227.45,2194.0
4865,2019-05-31,2140.75,2195.6499,2182.2,2187.8
4864,2019-05-30,2128.8,2193.0,2185.6499,2146.8999
4863,2019-05-29,2133.8,2169.75,2146.8,2152.0
4862,2019-05-28,2116.45,2171.8999,2154.3,2167.0
4861,2019-05-27,2119.7,2187.0,2166.6001,2127.5
4860,2019-05-24,2096.8501,2151.8999,2127.5,2127.0
4859,2019-05-23,2104.2,2209.0,2115.6001,2165.1001
4858,2019-05-22,2119.8,2155.0,2140.6001,2120.0
4857,2019-05-21,2104.6499,2178.0,2114.1001,2135.0
4856,2019-05-20,2027.0,2132.45,2117.3501,2029.0
4855,2019-05-17,1940.0,1999.9,1993.75,1959.95
4854,2019-05-16,1924.0,1953.15,1939.65,1950.9
4853,2019-05-15,1938.5,1979.8,1944.65,1971.0
4852,2019-05-14,1922.75,1987.7,1963.7,1960.0
4851,2019-05-13,1920.55,1982.8,1951.7,1930.0
4850,2019-05-10,1912.0,1956.0,1931.15,1919.0
4849,2019-05-09,1901.15,1933.0,1915.65,1933.0
4848,2019-05-08,1926.0,1970.0,1931.95,1969.85
4847,2019-05-07,1961.0,2008.9,1966.7,1979.0
4846,2019-05-06,1959.25,1990.0,1967.25,1990.0
4845,2019-05-03,2006.0,2038.85,2010.0,2030.0
4844,2019-05-02,1990.0,2028.25,2017.3,1992.0
4843,2019-04-30,1954.7,2002.95,1995.4,1977.0
4842,2019-04-26,1942.4,1979.95,1974.55,1959.9
4841,2019-04-25,1950.55,1997.0,1958.55,1988.0
4840,2019-04-24,1934.1,1988.85,1979.15,1949.0
4839,2019-04-23,1930.0,1968.65,1935.9,1958.5
4838,2019-04-22,1950.05,2010.0,1955.05,2006.0
